FICHIER :;c:\Users\labo_psi\Desktop\Echelon_BO_2A.eposacq
Date :;31/03/2026
Heure :;13:06:53

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en COURANT (BO) avec consigne de 2000 mA.
256 mesures avec période de 5.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en COURANT (BO) : Consigne de 2000 mA
 PI Courant : KP = 800 | KI = 200
 

MESURES :
Index;Temps;;Consigne de Courant;Entrée Ana. 1;
;ms;;mA;mV;
       171;     855,0;;      2000;       491;
       172;     860,0;;      2000;       477;
       173;     865,0;;      2000;       465;
       174;     870,0;;      2000;       466;
       175;     875,0;;      2000;       458;
       176;     880,0;;      2000;       454;
       177;     885,0;;      2000;       462;
       178;     890,0;;      2000;       469;
       179;     895,0;;      2000;       462;
       180;     900,0;;      2000;       460;
       181;     905,0;;      2000;       458;
       182;     910,0;;      2000;       452;
       183;     915,0;;      2000;       443;
       184;     920,0;;      2000;       439;
       185;     925,0;;      2000;       438;
       186;     930,0;;      2000;       440;
       187;     935,0;;      2000;       434;
       188;     940,0;;      2000;       439;
       189;     945,0;;      2000;       440;
       190;     950,0;;      2000;       444;
       191;     955,0;;      2000;       456;
       192;     960,0;;      2000;       462;
       193;     965,0;;      2000;       466;
       194;     970,0;;      2000;       461;
       195;     975,0;;      2000;       453;
       196;     980,0;;      2000;       453;
       197;     985,0;;      2000;       446;
       198;     990,0;;      2000;       441;
       199;     995,0;;      2000;       432;
       200;    1000,0;;      2000;       435;
       201;    1005,0;;      2000;       440;
       202;    1010,0;;      2000;       436;
       203;    1015,0;;      2000;       435;
       204;    1020,0;;      2000;       440;
       205;    1025,0;;      2000;       436;
       206;    1030,0;;      2000;       452;
       207;    1035,0;;      2000;       462;
       208;    1040,0;;      2000;       458;
       209;    1045,0;;      2000;       469;
       210;    1050,0;;      2000;       469;
       211;    1055,0;;      2000;       471;
       212;    1060,0;;      2000;       468;
       213;    1065,0;;      2000;       464;
       214;    1070,0;;      2000;       462;
       215;    1075,0;;      2000;       452;
       216;    1080,0;;      2000;       451;
       217;    1085,0;;      2000;       443;
       218;    1090,0;;      2000;       435;
       219;    1095,0;;      2000;       450;
       220;    1100,0;;      2000;       454;
       221;    1105,0;;      2000;       458;
       222;    1110,0;;      2000;       467;
       223;    1115,0;;      2000;       467;
       224;    1120,0;;      2000;       467;
       225;    1125,0;;      2000;       465;
       226;    1130,0;;      2000;       472;
       227;    1135,0;;      2000;       472;
       228;    1140,0;;      2000;       468;
       229;    1145,0;;      2000;       475;
       230;    1150,0;;      2000;       473;
       231;    1155,0;;      2000;       476;
       232;    1160,0;;      2000;       480;
       233;    1165,0;;      2000;       479;
       234;    1170,0;;      2000;       485;
       235;    1175,0;;      2000;       491;
       236;    1180,0;;      2000;       495;
       237;    1185,0;;      2000;       499;
       238;    1190,0;;      2000;       497;
       239;    1195,0;;      2000;       498;
       240;    1200,0;;      2000;       494;
       241;    1205,0;;      2000;       487;
       242;    1210,0;;      2000;       489;
       243;    1215,0;;      2000;       476;
       244;    1220,0;;      2000;       462;
       245;    1225,0;;      2000;       453;
       246;    1230,0;;      2000;       445;
       247;    1235,0;;      2000;       448;
       248;    1240,0;;      2000;       454;
       249;    1245,0;;      2000;       458;
       250;    1250,0;;      2000;       465;
       251;    1255,0;;      2000;       462;
