FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_2000_3kg.eposacq
Date :;02/02/2024
Heure :;10:32:28

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 2000 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
omega 2000
 I 4211mA

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      2938;         0;
         1;       5,0;;      2938;         0;
         2;      10,0;;      2938;         0;
         3;      15,0;;      2938;         0;
         4;      20,0;;      2938;         0;
         5;      25,0;;      2938;         0;
         6;      30,0;;      2938;         0;
         7;      35,0;;      2938;         0;
         8;      40,0;;      2938;         0;
         9;      45,0;;      2938;         0;
        10;      50,0;;      2938;         0;
        11;      55,0;;      2938;         0;
        12;      60,0;;      2938;         0;
        13;      65,0;;      2938;         0;
        14;      70,0;;      2938;         0;
        15;      75,0;;      2938;         0;
        16;      80,0;;      2938;         0;
        17;      85,0;;      3089;         0;
        18;      90,0;;      4346;         2;
        19;      95,0;;      6447;        19;
        20;     100,0;;      7242;        60;
        21;     105,0;;      7419;       127;
        22;     110,0;;      7451;       211;
        23;     115,0;;      7459;       308;
        24;     120,0;;      7478;       416;
        25;     125,0;;      7473;       532;
        26;     130,0;;      7459;       655;
        27;     135,0;;      7471;       783;
        28;     140,0;;      7470;       912;
        29;     145,0;;      7458;      1044;
        30;     150,0;;      7473;      1174;
        31;     155,0;;      7478;      1308;
        32;     160,0;;      7170;      1441;
        33;     165,0;;      6377;      1571;
        34;     170,0;;      5616;      1689;
        35;     175,0;;      5061;      1792;
        36;     180,0;;      4657;      1879;
        37;     185,0;;      4373;      1952;
        38;     190,0;;      4138;      2014;
        39;     195,0;;      3947;      2067;
        40;     200,0;;      3738;      2113;
        41;     205,0;;      3551;      2151;
        42;     210,0;;      3362;      2183;
        43;     215,0;;      3225;      2208;
        44;     220,0;;      3074;      2229;
        45;     225,0;;      2954;      2245;
        46;     230,0;;      2899;      2254;
        47;     235,0;;      2934;      2252;
        48;     240,0;;      3067;      2243;
        49;     245,0;;      3262;      2230;
        50;     250,0;;      3427;      2212;
        51;     255,0;;      3612;      2193;
        52;     260,0;;      3809;      2170;
        53;     265,0;;      4054;      2143;
        54;     270,0;;      4310;      2117;
        55;     275,0;;      4501;      2092;
        56;     280,0;;      4622;      2070;
        57;     285,0;;      4758;      2049;
        58;     290,0;;      4848;      2031;
        59;     295,0;;      4903;      2016;
        60;     300,0;;      4930;      2005;
        61;     305,0;;      4899;      1999;
        62;     310,0;;      4787;      1999;
        63;     315,0;;      4669;      2002;
        64;     320,0;;      4499;      2008;
        65;     325,0;;      4357;      2014;
        66;     330,0;;      4249;      2022;
        67;     335,0;;      4145;      2030;
        68;     340,0;;      3976;      2040;
        69;     345,0;;      3860;      2050;
        70;     350,0;;      3748;      2058;
        71;     355,0;;      3693;      2063;
        72;     360,0;;      3673;      2066;
        73;     365,0;;      3675;      2067;
        74;     370,0;;      3693;      2067;
        75;     375,0;;      3724;      2065;
        76;     380,0;;      3793;      2059;
        77;     385,0;;      3906;      2049;
        78;     390,0;;      4061;      2038;
        79;     395,0;;      4189;      2028;
        80;     400,0;;      4258;      2019;
        81;     405,0;;      4318;      2012;
        82;     410,0;;      4376;      2003;
        83;     415,0;;      4452;      1995;
        84;     420,0;;      4497;      1988;
        85;     425,0;;      4514;      1984;
        86;     430,0;;      4506;      1982;
        87;     435,0;;      4454;      1983;
        88;     440,0;;      4383;      1985;
        89;     445,0;;      4320;      1989;
        90;     450,0;;      4265;      1992;
        91;     455,0;;      4183;      1997;
        92;     460,0;;      4107;      2004;
        93;     465,0;;      3992;      2012;
        94;     470,0;;      3894;      2019;
        95;     475,0;;      3857;      2023;
        96;     480,0;;      3872;      2025;
        97;     485,0;;      3894;      2025;
        98;     490,0;;      3924;      2025;
        99;     495,0;;      3921;      2026;
       100;     500,0;;      3928;      2024;
       101;     505,0;;      3966;      2020;
       102;     510,0;;      4034;      2017;
       103;     515,0;;      4059;      2014;
       104;     520,0;;      4086;      2013;
       105;     525,0;;      4065;      2012;
       106;     530,0;;      4082;      2009;
       107;     535,0;;      4112;      2004;
       108;     540,0;;      4156;      2002;
       109;     545,0;;      4182;      1999;
       110;     550,0;;      4190;      1998;
       111;     555,0;;      4211;      1995;
       112;     560,0;;      4218;      1994;
       113;     565,0;;      4236;      1991;
       114;     570,0;;      4252;      1990;
       115;     575,0;;      4236;      1990;
       116;     580,0;;      4207;      1991;
       117;     585,0;;      4171;      1994;
       118;     590,0;;      4136;      1996;
       119;     595,0;;      4134;      1997;
       120;     600,0;;      4126;      1998;
       121;     605,0;;      4093;      2001;
       122;     610,0;;      4050;      2004;
       123;     615,0;;      4015;      2006;
       124;     620,0;;      3986;      2008;
       125;     625,0;;      3990;      2009;
       126;     630,0;;      4023;      2008;
       127;     635,0;;      4035;      2008;
       128;     640,0;;      4047;      2008;
       129;     645,0;;      4052;      2007;
       130;     650,0;;      4052;      2006;
       131;     655,0;;      4085;      2004;
       132;     660,0;;      4107;      2002;
       133;     665,0;;      4121;      2001;
       134;     670,0;;      4115;      2001;
       135;     675,0;;      4111;      2001;
       136;     680,0;;      4120;      1999;
       137;     685,0;;      4138;      1998;
       138;     690,0;;      4177;      1996;
       139;     695,0;;      4205;      1994;
       140;     700,0;;      4195;      1993;
       141;     705,0;;      4211;      1992;
       142;     710,0;;      4195;      1993;
       143;     715,0;;      4186;      1993;
       144;     720,0;;      4181;      1994;
       145;     725,0;;      4173;      1994;
       146;     730,0;;      4147;      1996;
       147;     735,0;;      4138;      1997;
       148;     740,0;;      4128;      1997;
       149;     745,0;;      4109;      1998;
       150;     750,0;;      4117;      1999;
       151;     755,0;;      4098;      2001;
       152;     760,0;;      4071;      2003;
       153;     765,0;;      4020;      2007;
       154;     770,0;;      3981;      2009;
       155;     775,0;;      3953;      2011;
       156;     780,0;;      3961;      2012;
       157;     785,0;;      3947;      2013;
       158;     790,0;;      3957;      2013;
       159;     795,0;;      3951;      2014;
       160;     800,0;;      3953;      2013;
       161;     805,0;;      3948;      2014;
       162;     810,0;;      3970;      2012;
       163;     815,0;;      3968;      2012;
       164;     820,0;;      3997;      2010;
       165;     825,0;;      4012;      2009;
       166;     830,0;;      4009;      2007;
       167;     835,0;;      4004;      2006;
       168;     840,0;;      4030;      2005;
       169;     845,0;;      4024;      2005;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

