Temps (s) - Tc : consigne T (mm)	R (mm) - Tc : consigne T (mm)	Temps (s) - T : position T (mm)	R (mm) - T : position T (mm)	Temps (s) - e1T : écart 1 T (mm)	R (mm) - e1T : écart 1 T (mm)	Temps (s) - e2T : écart 2 T (mm)	R (mm) - e2T : écart 2 T (mm)	Temps (s) - e3T : écart 3 T (V)	R (mm) - e3T : écart 3 T (V)	Temps (s) - uT : tension moteur T (V)	R (mm) - uT : tension moteur T (V)	Temps (s) - iT : intensité moteur T (A)	R (mm) - iT : intensité moteur T (A)	Temps (s) - Rc : consigne R (°)	R (mm) - Rc : consigne R (°)	Temps (s) - R : position R (°)	R (mm) - R : position R (°)	Temps (s) - e1R : écart 1 R (°)	R (mm) - e1R : écart 1 R (°)	Temps (s) - e2R : écart 2 R (°)	R (mm) - e2R : écart 2 R (°)	Temps (s) - e3R : écart 3 R (V)	R (mm) - e3R : écart 3 R (V)	Temps (s) - uR : tension moteur R (V)	R (mm) - uR : tension moteur R (V)	Temps (s) - iR : intensité moteur R (A)	R (mm) - iR : intensité moteur R (A)	Temps (s) - ar : accel radiale (g)       	R (mm) - ar : accel radiale (g)       	Temps (s) - at : accel tangentielle (g)  	R (mm) - at : accel tangentielle (g)  	Temps (s) - gz : gyro Z (°/s)	R (mm) - gz : gyro Z (°/s)	Temps (s) - formule 1	R (mm) - formule 1	Temps (s) - formule 2	R (mm) - formule 2	Temps (s) - Curseur	R (mm) - Curseur
0.303	168.215	0.303	162.586	0.303	5.62883	0.303	5.62883	0.303	5.72232	0.321	9.09962	0.318	0.238037	0.303	10.3035	0.303	9.79725	0.303	0.506295	0.303	0.506295	0.303	0.608048			0.438	0.00549316	0.615	0.081665	0.888	0.0487061			0.303	0	0.303	0		
0.306	168.665	0.306	163.043	0.306	5.62239	0.306	5.62239	0.306	5.71729	0.324	8.99983	0.321	0.230713	0.306	10.3035	0.306	9.81605	0.306	0.487493	0.306	0.487493	0.306	0.562699			0.441	0.00732422	0.618	0.0344238	0.891	0.0540771			0.306	0	0.306	0		
0.309	169.115	0.309	163.5	0.309	5.61525	0.309	5.61525	0.309	5.71225	0.327	9.01409	0.324	0.258179	0.309	10.3035	0.309	9.83281	0.309	0.470742	0.309	0.470742	0.309	0.562699			0.444	0.00732422	0.627	0.0032959	0.897	0.0327148			0.309	0	0.309	0		
0.312	169.565	0.312	163.951	0.312	5.61376	0.312	5.61376	0.312	5.70721	0.33	9.01409	0.327	0.250855	0.312	10.3035	0.312	9.84785	0.312	0.455701	0.312	0.455701	0.312	0.542545			0.447	0.0109863	0.63	0.00939941	0.9	0.0223389			0.312	0	0.312	0		
0.315	170.015	0.315	164.403	0.315	5.61156	0.315	5.61156	0.315	5.69713	0.333	9.08536	0.33	0.238037	0.315	10.3035	0.315	9.86084	0.315	0.44271	0.315	0.44271	0.315	0.517351			0.45	0.0109863	0.639	0.0447998	0.906	0.00671387			0.315	0	0.315	0		
0.318	170.465	0.318	164.851	0.318	5.6136	0.318	5.6136	0.318	5.69713	0.336	9.0426	0.333	0.254517	0.318	10.3035	0.318	9.87212	0.318	0.431429	0.318	0.431429	0.318	0.507274			0.453	0.00915527	0.642	0.0568848	0.915	0.00964355			0.318	0	0.318	0		
0.321	170.915	0.321	165.304	0.321	5.6114	0.321	5.6114	0.321	5.70217	0.339	9.11387	0.336	0.309448	0.321	10.3035	0.321	9.88203	0.321	0.421515	0.321	0.421515	0.321	0.507274			0.456	0.00915527	0.648	0.0098877	0.918	0.0595703			0.321	0	0.321	0		
0.324	171.365	0.324	165.759	0.324	5.60567	0.324	5.60567	0.324	5.70217	0.342	9.05685	0.339	0.252686	0.324	10.3035	0.324	9.89058	0.324	0.412969	0.324	0.412969	0.324	0.497196			0.459	0.00915527	0.657	0.0135498	0.93	0.0205078			0.324	0	0.324	0		
0.327	171.815	0.327	166.212	0.327	5.60347	0.327	5.60347	0.327	5.69209	0.345	8.95706	0.342	0.272827	0.327	10.3035	0.327	9.89742	0.327	0.406131	0.327	0.406131	0.327	0.48208			0.462	0.00915527	0.666	0.0231934	0.933	0.0266113			0.327	0	0.327	0		
0.33	172.265	0.33	166.659	0.33	5.60551	0.33	5.60551	0.33	5.69209	0.348	9.12813	0.345	0.314941	0.33	10.3035	0.33	9.90254	0.33	0.401004	0.33	0.401004	0.33	0.48208			0.465	0.0109863	0.669	0.00537109	0.945	0.0827637			0.33	0	0.33	0		
0.333	172.715	0.333	167.112	0.333	5.6026	0.333	5.6026	0.333	5.69713	0.351	9.0426	0.348	0.247192	0.333	10.3035	0.333	9.9063	0.333	0.397243	0.333	0.397243	0.333	0.477042			0.468	0.00915527	0.678	0.0257568	0.96	0.0773926			0.333	0	0.333	0		
0.336	173.165	0.336	167.56	0.336	5.60464	0.336	5.60464	0.336	5.68201	0.354	9.05685	0.351	0.280151	0.336	10.3035	0.336	9.9087	0.336	0.39485	0.336	0.39485	0.336	0.472003			0.471	0.0109863	0.681	0.029541	0.972	0.06604			0.336	0	0.336	0		
0.339	173.615	0.339	168.013	0.339	5.60244	0.339	5.60244	0.339	5.69713	0.357	8.99983	0.354	0.303955	0.339	10.3035	0.339	9.90972	0.339	0.393825	0.339	0.393825	0.339	0.466964			0.474	0.00915527	0.69	0.0526123	0.981	0.0456543			0.339	0	0.339	0		
0.342	174.065	0.342	168.466	0.342	5.59883	0.342	5.59883	0.342	5.68705	0.36	9.08536	0.357	0.287476	0.342	10.3035	0.342	9.90972	0.342	0.393825	0.342	0.393825	0.342	0.466964			0.477	0.0109863	0.696	0.010376	0.99	0.0688477			0.342	0	0.342	0		
0.345	174.515	0.345	168.911	0.345	5.6044	0.345	5.6044	0.345	5.68705	0.363	8.99983	0.36	0.274658	0.345	10.3035	0.345	9.90972	0.345	0.393825	0.345	0.393825	0.345	0.466964			0.48	0.0201416	0.705	0.000732422	0.999	0.0107422			0.345	0	0.345	0		
0.348	174.965	0.348	169.357	0.348	5.60786	0.348	5.60786	0.348	5.69209	0.366	9.0426	0.363	0.285645	0.348	10.3035	0.348	9.90972	0.348	0.393825	0.348	0.393825	0.348	0.472003			0.483	0.00915527	0.708	0.055542	1.002	0.00537109			0.348	0	0.348	0		
0.351	175.415	0.351	169.8	0.351	5.61484	0.351	5.61484	0.351	5.69209	0.369	9.0426	0.366	0.265503	0.351	10.3035	0.351	9.90972	0.351	0.393825	0.351	0.393825	0.351	0.472003			0.486	0.00732422	0.714	0.00488281	1.014	0.0549316			0.351	0	0.351	0		
0.354	175.865	0.354	170.248	0.354	5.61689	0.354	5.61689	0.354	5.70217	0.372	9.05685	0.369	0.263672	0.354	10.3035	0.354	9.90972	0.354	0.393825	0.354	0.393825	0.354	0.466964			0.489	0.0109863	0.72	0.00292969	1.017	0.0401611			0.354	0	0.354	0		
0.357	176.315	0.357	170.693	0.357	5.62175	0.357	5.62175	0.357	5.70217	0.375	9.09962	0.372	0.292969	0.357	10.3035	0.357	9.90972	0.357	0.393825	0.357	0.393825	0.357	0.472003			0.492	0.00732422	0.723	0.0267334	1.023	0.0479736			0.357	0	0.357	0		
0.36	176.765	0.36	171.134	0.36	5.63086	0.36	5.63086	0.36	5.70721	0.378	9.07111	0.375	0.300293	0.36	10.3035	0.36	9.90972	0.36	0.393825	0.36	0.393825	0.36	0.466964			0.495	0.00915527	0.726	0.0065918	1.032	0.0455322			0.36	0	0.36	0		
0.363	177.215	0.363	171.585	0.363	5.63007	0.363	5.63007	0.363	5.71729	0.381	9.08536	0.378	0.256348	0.363	10.3035	0.363	9.90972	0.363	0.393825	0.363	0.393825	0.363	0.466964			0.498	0.00732422	0.729	0.0327148	1.035	0.00231934			0.363	0	0.363	0		
0.366	177.665	0.366	172.034	0.366	5.63141	0.366	5.63141	0.366	5.71225	0.384	8.98558	0.381	0.291138	0.366	10.3035	0.366	9.90972	0.366	0.393825	0.366	0.393825	0.366	0.472003			0.501	0.00915527	0.738	0.0532227	1.041	0.00561523			0.366	0	0.366	0		
0.369	178.115	0.369	172.481	0.369	5.63415	0.369	5.63415	0.369	5.72232	0.387	9.07111	0.384	0.305786	0.369	10.3035	0.369	9.90972	0.369	0.393825	0.369	0.393825	0.369	0.472003			0.504	0.00915527	0.744	0.0325928	1.044	0.00500488			0.369	0	0.369	0		
0.372	178.565	0.372	172.934	0.372	5.63054	0.372	5.63054	0.372	5.71729	0.39	9.05685	0.387	0.252686	0.372	10.3035	0.372	9.90972	0.372	0.393825	0.372	0.393825	0.372	0.472003			0.507	0.00915527	0.756	0.000976562	1.05	0.0498047			0.372	0	0.372	0		
0.375	179.015	0.375	173.38	0.375	5.63541	0.375	5.63541	0.375	5.71729	0.393	9.07111	0.39	0.283814	0.375	10.3035	0.375	9.90972	0.375	0.393825	0.375	0.393825	0.375	0.472003			0.51	0.00915527	0.762	0.0665283	1.059	0.0427246			0.375	0	0.375	0		
0.378	179.465	0.378	173.833	0.378	5.6318	0.378	5.6318	0.378	5.71729	0.396	9.11387	0.393	0.318604	0.378	10.3035	0.378	9.90972	0.378	0.393825	0.378	0.393825	0.378	0.472003			0.513	0.00915527	0.765	0.0462646	1.068	0.00158691			0.378	0	0.378	0		
0.381	179.915	0.381	174.281	0.381	5.63384	0.381	5.63384	0.381	5.71729	0.399	9.05685	0.396	0.26001	0.381	10.3035	0.381	9.90972	0.381	0.393825	0.381	0.393825	0.381	0.472003			0.516	0.00732422	0.771	0.0330811	1.071	0.00195312			0.381	0	0.381	0		
0.384	180.365	0.384	174.73	0.384	5.63517	0.384	5.63517	0.384	5.72736	0.402	9.0426	0.399	0.281982	0.384	10.3035	0.384	9.90972	0.384	0.393825	0.384	0.393825	0.384	0.472003			0.519	0.00915527	0.774	0.0509033	1.08	0.0130615			0.384	0	0.384	0		
0.387	180.815	0.387	175.183	0.387	5.63226	0.387	5.63226	0.387	5.72232	0.405	9.11387	0.402	0.281982	0.387	10.3035	0.387	9.90972	0.387	0.393825	0.387	0.393825	0.387	0.472003			0.522	0.00732422	0.78	0.0443115	1.086	0.00341797			0.387	0	0.387	0		
0.39	181.265	0.39	175.633	0.39	5.63218	0.39	5.63218	0.39	5.71729	0.408	9.0426	0.405	0.254517	0.39	10.3035	0.39	9.90972	0.39	0.393825	0.39	0.393825	0.39	0.477042			0.525	0.00915527	0.783	0.0400391	1.122	0.00390625			0.39	0	0.39	0		
0.393	181.715	0.393	176.079	0.393	5.63634	0.393	5.63634	0.393	5.71729	0.411	9.08536	0.408	0.250855	0.393	10.3035	0.393	9.90972	0.393	0.393825	0.393	0.393825	0.393	0.472003			0.528	0.00732422	0.792	0.0528564	1.14	0.478516			0.393	0	0.393	0		
0.396	182.165	0.396	176.527	0.396	5.63768	0.396	5.63768	0.396	5.72232	0.414	9.08536	0.411	0.269165	0.396	10.3035	0.396	9.90972	0.396	0.393825	0.396	0.393825	0.396	0.472003			0.531	0.00732422	0.795	0.0148926	1.143	0.424805			0.396	0	0.396	0		
0.399	182.615	0.399	176.976	0.399	5.63901	0.399	5.63901	0.399	5.7324	0.417	9.12813	0.414	0.245361	0.399	10.3035	0.399	9.90972	0.399	0.393825	0.399	0.393825	0.399	0.472003			0.534	0.00915527	0.801	0.0107422	1.146	0.0554199			0.399	0	0.399	0		
0.402	183.065	0.402	177.432	0.402	5.63328	0.402	5.63328	0.402	5.72736	0.42	9.01409	0.417	0.217896	0.402	10.3035	0.402	9.90972	0.402	0.393825	0.402	0.393825	0.402	0.472003			0.537	0.00549316	0.804	0.0168457	1.158	0.05896			0.402	0	0.402	0		
0.405	183.515	0.405	177.88	0.405	5.63532	0.405	5.63532	0.405	5.72232	0.423	9.11387	0.42	0.252686	0.405	10.3035	0.405	9.90972	0.405	0.393825	0.405	0.393825	0.405	0.472003			0.54	0.00732422	0.807	0.02771	1.161	0.101318			0.405	0	0.405	0		
0.408	183.965	0.408	178.331	0.408	5.63383	0.408	5.63383	0.408	5.72232	0.426	9.02834	0.423	0.270996	0.408	10.3035	0.408	9.90972	0.408	0.393825	0.408	0.393825	0.408	0.472003			0.543	0.00915527	0.81	0.0687256	1.164	0.0358887			0.408	0	0.408	0		
0.411	184.415	0.411	178.783	0.411	5.63163	0.411	5.63163	0.411	5.72232	0.429	9.01409	0.426	0.214233	0.411	10.3035	0.411	9.90972	0.411	0.393825	0.411	0.393825	0.411	0.466964			0.546	0.00732422	0.819	0.0471191	1.179	0.0115967			0.411	0	0.411	0		
0.414	184.865	0.414	179.243	0.414	5.62237	0.414	5.62237	0.414	5.71225	0.432	9.07111	0.429	0.24353	0.414	10.3035	0.414	9.90972	0.414	0.393825	0.414	0.393825	0.414	0.472003			0.549	0.00549316	0.822	0.0111084	1.182	0.0350342			0.414	0	0.414	0		
0.417	185.315	0.417	179.696	0.417	5.61946	0.417	5.61946	0.417	5.70721	0.435	8.98558	0.432	0.283814	0.417	10.3035	0.417	9.90972	0.417	0.393825	0.417	0.393825	0.417	0.477042			0.552	0.00549316	0.834	0.0231934					0.417	0	0.417	0		
0.42	185.765	0.42	180.153	0.42	5.61161	0.42	5.61161	0.42	5.70721	0.438	8.98558	0.435	0.206909	0.42	10.3035	0.42	9.90972	0.42	0.393825	0.42	0.393825	0.42	0.472003			0.555	0.00366211	0.837	0.0184326					0.42	0	0.42	0		
0.423	186.215	0.423	180.605	0.423	5.61012	0.423	5.61012	0.423	5.69713	0.441	9.02834	0.438	0.236206	0.423	10.3035	0.423	9.90972	0.423	0.393825	0.423	0.393825	0.423	0.466964			0.558	0.00549316	0.846	0.0579834					0.423	0	0.423	0		
0.426	186.665	0.426	181.061	0.426	5.60438	0.426	5.60438	0.426	5.70721	0.444	9.09962	0.441	0.2948	0.426	10.3035	0.426	9.90972	0.426	0.393825	0.426	0.393825	0.426	0.472003			0.561	0.00732422	0.849	0.0427246					0.426	0	0.426	0		
0.429	187.115	0.429	181.517	0.429	5.59795	0.429	5.59795	0.429	5.68705	0.447	9.07111	0.444	0.214233	0.429	10.3035	0.429	9.90972	0.429	0.393825	0.429	0.393825	0.429	0.466964			0.564	0.00915527	0.852	0.0330811					0.429	0	0.429	0		
0.432	187.565	0.432	181.979	0.432	5.58586	0.432	5.58586	0.432	5.68705	0.45	8.95706	0.447	0.22522	0.432	10.3035	0.432	9.90972	0.432	0.393825	0.432	0.393825	0.432	0.472003			0.567	0.00732422	0.855	0.0167236					0.432	0	0.432	0		
0.435	188.015	0.435	182.426	0.435	5.58931	0.435	5.58931	0.435	5.67698	0.453	9.01409	0.45	0.230713	0.435	10.3035	0.435	9.90972	0.435	0.393825	0.435	0.393825	0.435	0.472003			0.57	0.00915527	0.858	0.0288086					0.435	0	0.435	0		
0.438	188.465	0.438	182.88	0.438	5.58499	0.438	5.58499	0.438	5.67698	0.456	8.94281	0.453	0.199585	0.438	10.3035	0.438	9.90972	0.438	0.393825	0.438	0.393825	0.438	0.466964			0.573	0.00915527	0.861	0.0408936					0.438	0	0.438	0		
0.441	188.915	0.441	183.332	0.441	5.58279	0.441	5.58279	0.441	5.67194	0.459	9.0426	0.456	0.20874	0.441	10.3035	0.441	9.90972	0.441	0.393825	0.441	0.393825	0.441	0.466964			0.576	0.0109863	0.864	0.0335693					0.441	0	0.441	0		
0.444	189.365	0.444	183.792	0.444	5.57282	0.444	5.57282	0.444	5.67194	0.462	9.01409	0.459	0.24353	0.444	10.3035	0.444	9.90972	0.444	0.393825	0.444	0.393825	0.444	0.472003			0.579	0.00732422	0.87	0.0150146					0.444	0	0.444	0		
0.447	189.815	0.447	184.243	0.447	5.57203	0.447	5.57203	0.447	5.66186	0.465	9.02834	0.462	0.210571	0.447	10.3035	0.447	9.90972	0.447	0.393825	0.447	0.393825	0.447	0.466964			0.582	0.00915527	0.879	0.0471191					0.447	0	0.447	0		
0.45	190.265	0.45	184.697	0.45	5.56842	0.45	5.56842	0.45	5.65682	0.468	9.01409	0.465	0.194092	0.45	10.3035	0.45	9.90972	0.45	0.393825	0.45	0.393825	0.45	0.472003			0.585	0.0109863	0.882	0.0465088					0.45	0	0.45	0		
0.453	190.715	0.453	185.152	0.453	5.5634	0.453	5.5634	0.453	5.65178	0.471	9.01409	0.468	0.228882	0.453	10.3035	0.453	9.90972	0.453	0.393825	0.453	0.393825	0.453	0.477042			0.588	0.00915527	0.888	0.121704					0.453	0	0.453	0		
0.456	191.165	0.456	185.61	0.456	5.55484	0.456	5.55484	0.456	5.65178	0.474	8.90004	0.471	0.22522	0.456	10.3035	0.456	9.90972	0.456	0.393825	0.456	0.393825	0.456	0.466964			0.591	0.00915527	0.891	0.0870361					0.456	0	0.456	0		
0.459	191.615	0.459	186.067	0.459	5.5484	0.459	5.5484	0.459	5.65178	0.477	8.90004	0.474	0.221558	0.459	10.3035	0.459	9.90972	0.459	0.393825	0.459	0.393825	0.459	0.466964			0.594	0.00915527	0.897	0.0633545					0.459	0	0.459	0		
0.462	192.065	0.462	186.524	0.462	5.54055	0.462	5.54055	0.462	5.63163	0.48	8.92855	0.477	0.250855	0.462	10.3035	0.462	9.90972	0.462	0.393825	0.462	0.393825	0.462	0.472003			0.597	0.00915527	0.9	0.0366211					0.462	0	0.462	0		
0.465	192.515	0.465	186.975	0.465	5.53976	0.465	5.53976	0.465	5.63163	0.483	8.99983	0.48	0.27832	0.465	10.3035	0.465	9.90972	0.465	0.393825	0.465	0.393825	0.465	0.466964			0.6	0.0128174	0.906	0.00805664					0.465	0	0.465	0		
0.468	192.965	0.468	187.435	0.468	5.5305	0.468	5.5305	0.468	5.63163	0.486	8.9143	0.483	0.206909	0.468	10.3035	0.468	9.90972	0.468	0.393825	0.468	0.393825	0.468	0.466964			0.603	0.00732422	0.909	0.0788574					0.468	0	0.468	0		
0.471	193.415	0.471	187.883	0.471	5.53183	0.471	5.53183	0.471	5.62155	0.489	8.88579	0.486	0.232544	0.471	10.3035	0.471	9.90972	0.471	0.393825	0.471	0.393825	0.471	0.466964			0.606	0.0109863	0.918	0.0444336					0.471	0	0.471	0		
0.474	193.865	0.474	188.333	0.474	5.53175	0.474	5.53175	0.474	5.62155	0.492	8.99983	0.489	0.274658	0.474	10.3035	0.474	9.90972	0.474	0.393825	0.474	0.393825	0.474	0.466964			0.609	0.0146484	0.924	0.0336914					0.474	0	0.474	0		
0.477	194.315	0.477	188.785	0.477	5.52955	0.477	5.52955	0.477	5.61651	0.495	8.97132	0.492	0.201416	0.477	10.3035	0.477	9.90972	0.477	0.393825	0.477	0.393825	0.477	0.472003			0.612	0.00915527	0.93	0.0389404					0.477	0	0.477	0		
0.48	194.765	0.48	189.228	0.48	5.53654	0.48	5.53654	0.48	5.61651	0.498	8.90004	0.495	0.217896	0.48	10.3035	0.48	9.90972	0.48	0.393825	0.48	0.393825	0.48	0.472003			0.615	0.00732422	0.933	0.0799561					0.48	0	0.48	0		
0.483	195.215	0.483	189.682	0.483	5.53293	0.483	5.53293	0.483	5.62659	0.501	8.98558	0.498	0.221558	0.483	10.3035	0.483	9.90972	0.483	0.393825	0.483	0.393825	0.483	0.472003			0.618	0.00732422	0.936	0.0111084					0.483	0	0.483	0		
0.486	195.665	0.486	190.135	0.486	5.53002	0.486	5.53002	0.486	5.62155	0.504	8.98558	0.501	0.188599	0.486	10.3035	0.486	9.90972	0.486	0.393825	0.486	0.393825	0.486	0.466964			0.621	0.0128174	0.942	0.0748291					0.486	0	0.486	0		
0.489	196.115	0.489	190.588	0.489	5.52712	0.489	5.52712	0.489	5.61651	0.507	8.85728	0.504	0.206909	0.489	10.3035	0.489	9.90972	0.489	0.393825	0.489	0.393825	0.489	0.477042			0.624	0.00732422	0.945	0.0649414					0.489	0	0.489	0		
0.492	196.565	0.492	191.041	0.492	5.52351	0.492	5.52351	0.492	5.61147	0.51	8.90004	0.507	0.228882	0.492	10.3035	0.492	9.90972	0.492	0.393825	0.492	0.393825	0.492	0.466964			0.627	0.00732422	0.948	0.019043					0.492	0	0.492	0		
0.495	197.015	0.495	191.488	0.495	5.52696	0.495	5.52696	0.495	5.60643	0.513	8.87153	0.51	0.205078	0.495	10.3035	0.495	9.90972	0.495	0.393825	0.495	0.393825	0.495	0.472003			0.63	0.00732422	0.96	0.052002					0.495	0	0.495	0		
0.498	197.465	0.498	191.944	0.498	5.52052	0.498	5.52052	0.498	5.61147	0.516	8.90004	0.513	0.210571	0.498	10.3035	0.498	9.90972	0.498	0.393825	0.498	0.393825	0.498	0.466964			0.633	0.00915527	0.963	0.0738525					0.498	0	0.498	0		
0.501	197.915	0.501	192.397	0.501	5.51762	0.501	5.51762	0.501	5.60643	0.519	8.84302	0.516	0.245361	0.501	10.3035	0.501	9.90972	0.501	0.393825	0.501	0.393825	0.501	0.472003			0.636	0.00732422	0.972	0.0537109					0.501	0	0.501	0		
0.504	198.365	0.504	192.851	0.504	5.514	0.504	5.514	0.504	5.60643	0.522	8.87153	0.519	0.227051	0.504	10.3035	0.504	9.90972	0.504	0.393825	0.504	0.393825	0.504	0.466964			0.639	0.00915527	0.978	0.0424805					0.504	0	0.504	0		
0.507	198.815	0.507	193.302	0.507	5.51251	0.507	5.51251	0.507	5.59636	0.525	8.94281	0.522	0.206909	0.507	10.3035	0.507	9.90972	0.507	0.393825	0.507	0.393825	0.507	0.466964			0.642	0.00732422	0.981	0.0791016					0.507	0	0.507	0		
0.51	199.265	0.51	193.758	0.51	5.50678	0.51	5.50678	0.51	5.59636	0.528	8.85728	0.525	0.22522	0.51	10.3035	0.51	9.90972	0.51	0.393825	0.51	0.393825	0.51	0.472003			0.645	0.00915527	0.987	0.00317383					0.51	0	0.51	0		
0.513	199.715	0.513	194.205	0.513	5.50953	0.513	5.50953	0.513	5.59636	0.531	8.88579	0.528	0.263672	0.513	10.3035	0.513	9.90972	0.513	0.393825	0.513	0.393825	0.513	0.472003			0.648	0.00732422	0.99	0.103516					0.513	0	0.513	0		
0.516	200.165	0.516	194.662	0.516	5.50309	0.516	5.50309	0.516	5.59636	0.534	8.87153	0.531	0.205078	0.516	10.3035	0.516	9.90972	0.516	0.393825	0.516	0.393825	0.516	0.466964			0.651	0.00915527	0.999	0.0412598					0.516	0	0.516	0		
0.519	200.615	0.519	195.105	0.519	5.51007	0.519	5.51007	0.519	5.58628	0.537	8.9143	0.534	0.223389	0.519	10.3035	0.519	9.90972	0.519	0.393825	0.519	0.393825	0.519	0.472003			0.654	0.0109863	1.005	0.0181885					0.519	0	0.519	0		
0.522	201.065	0.522	195.559	0.522	5.50576	0.522	5.50576	0.522	5.59636	0.54	8.9143	0.537	0.261841	0.522	10.3035	0.522	9.90972	0.522	0.393825	0.522	0.393825	0.522	0.472003			0.657	0.00732422	1.014	0.110352					0.522	0	0.522	0		
0.525	201.515	0.525	196.007	0.525	5.5078	0.525	5.5078	0.525	5.59636	0.543	8.84302	0.54	0.183105	0.525	10.3035	0.525	9.90972	0.525	0.393825	0.525	0.393825	0.525	0.466964			0.66	0.00915527	1.017	0.0577393					0.525	0	0.525	0		
0.528	201.965	0.528	196.459	0.528	5.5063	0.528	5.5063	0.528	5.59132	0.546	8.87153	0.543	0.199585	0.528	10.3035	0.528	9.90972	0.528	0.393825	0.528	0.393825	0.528	0.472003			0.663	0.00732422	1.02	0.041626					0.528	0	0.528	0		
0.531	202.415	0.531	196.908	0.531	5.50693	0.531	5.50693	0.531	5.59636	0.549	8.9143	0.546	0.236206	0.531	10.3035	0.531	9.90972	0.531	0.393825	0.531	0.393825	0.531	0.472003			0.666	0.00732422	1.023	0.0250244					0.531	0	0.531	0		
0.534	202.865	0.534	197.361	0.534	5.50403	0.534	5.50403	0.534	5.59132	0.552	8.94281	0.549	0.199585	0.534	10.3035	0.534	9.90972	0.534	0.393825	0.534	0.393825	0.534	0.472003			0.669	0.00732422	1.026	0.0180664					0.534	0	0.534	0		
0.537	203.315	0.537	197.812	0.537	5.50253	0.537	5.50253	0.537	5.59132	0.555	8.88579	0.552	0.201416	0.537	10.3035	0.537	9.90972	0.537	0.393825	0.537	0.393825	0.537	0.461926			0.672	0.00915527	1.032	0.09375					0.537	0	0.537	0		
0.54	203.765	0.54	198.265	0.54	5.50033	0.54	5.50033	0.54	5.59132	0.558	8.85728	0.555	0.238037	0.54	10.3035	0.54	9.90972	0.54	0.393825	0.54	0.393825	0.54	0.466964			0.675	0.00732422	1.035	0.0488281					0.54	0	0.54	0		
0.543	204.215	0.543	198.714	0.543	5.50096	0.543	5.50096	0.543	5.58628	0.561	8.84302	0.558	0.238037	0.543	10.3035	0.543	9.90972	0.543	0.393825	0.543	0.393825	0.543	0.472003			0.678	0.00732422	1.044	0.0544434					0.543	0	0.543	0		
0.546	204.665	0.546	199.169	0.546	5.49594	0.546	5.49594	0.546	5.59132	0.564	8.95706	0.561	0.197754	0.546	10.3035	0.546	9.90972	0.546	0.393825	0.546	0.393825	0.546	0.466964			0.681	0.00915527	1.131	0.00708008					0.546	0	0.546	0		
0.549	205.115	0.549	199.621	0.549	5.49374	0.549	5.49374	0.549	5.59132	0.567	8.82877	0.564	0.232544	0.549	10.3035	0.549	9.90972	0.549	0.393825	0.549	0.393825	0.549	0.466964			0.684	0.00732422	1.14	0.0737305					0.549	0	0.549	0		
0.552	205.565	0.552	200.072	0.552	5.49295	0.552	5.49295	0.552	5.58628	0.57	8.88579	0.567	0.261841	0.552	10.3035	0.552	9.90972	0.552	0.393825	0.552	0.393825	0.552	0.472003			0.687	0.00915527	1.143	0.0137939					0.552	0	0.552	0		
0.555	206.015	0.555	200.519	0.555	5.4957	0.555	5.4957	0.555	5.58124	0.573	8.87153	0.57	0.216064	0.555	10.3035	0.555	9.90972	0.555	0.393825	0.555	0.393825	0.555	0.472003			0.69	0.0109863	1.155	0.0269775					0.555	0	0.555	0		
0.558	206.465	0.558	200.969	0.558	5.49633	0.558	5.49633	0.558	5.58628	0.576	8.81451	0.573	0.249023	0.558	10.3035	0.558	9.90972	0.558	0.393825	0.558	0.393825	0.558	0.472003			0.693	0.00915527	1.158	0.0390625					0.558	0	0.558	0		
0.561	206.915	0.561	201.411	0.561	5.50402	0.561	5.50402	0.561	5.58628	0.579	8.9143	0.576	0.287476	0.561	10.3035	0.561	9.90972	0.561	0.393825	0.561	0.393825	0.561	0.461926			0.696	0.0109863	1.161	0.00891113					0.561	0	0.561	0		
0.564	207.365	0.564	201.865	0.564	5.50041	0.564	5.50041	0.564	5.59132	0.582	8.85728	0.579	0.199585	0.564	10.3035	0.564	9.90972	0.564	0.393825	0.564	0.393825	0.564	0.466964			0.699	0.00732422	1.164	0.0128174					0.564	0	0.564	0		
0.567	207.815	0.567	202.311	0.567	5.50386	0.567	5.50386	0.567	5.58628	0.585	8.90004	0.582	0.219727	0.567	10.3035	0.567	9.90972	0.567	0.393825	0.567	0.393825	0.567	0.472003			0.702	0.0109863	1.173	0.00537109					0.567	0	0.567	0		
0.57	208.265	0.57	202.763	0.57	5.50237	0.57	5.50237	0.57	5.59132	0.588	8.98558	0.585	0.265503	0.57	10.3035	0.57	9.90972	0.57	0.393825	0.57	0.393825	0.57	0.477042			0.705	0.0109863	1.176	0.0118408					0.57	0	0.57	0		
0.573	208.715	0.573	203.212	0.573	5.503	0.573	5.503	0.573	5.59132	0.591	8.87153	0.588	0.192261	0.573	10.3035	0.573	9.90972	0.573	0.393825	0.573	0.393825	0.573	0.472003			0.708	0.0109863	1.179	0.0251465					0.573	0	0.573	0		
0.576	209.165	0.576	203.659	0.576	5.50574	0.576	5.50574	0.576	5.59132	0.594	8.84302	0.591	0.214233	0.576	10.3035	0.576	9.90972	0.576	0.393825	0.576	0.393825	0.576	0.466964			0.711	0.00732422	1.182	0.0111084					0.576	0	0.576	0		
