Temps (s) - Tc : consigne T (mm)	R (mm) - Tc : consigne T (mm)	Temps (s) - T : position T (mm)	R (mm) - T : position T (mm)	Temps (s) - e1T : écart 1 T (mm)	R (mm) - e1T : écart 1 T (mm)	Temps (s) - e2T : écart 2 T (mm)	R (mm) - e2T : écart 2 T (mm)	Temps (s) - e3T : écart 3 T (V)	R (mm) - e3T : écart 3 T (V)	Temps (s) - uT : tension moteur T (V)	R (mm) - uT : tension moteur T (V)	Temps (s) - iT : intensité moteur T (A)	R (mm) - iT : intensité moteur T (A)	Temps (s) - Rc : consigne R (°)	R (mm) - Rc : consigne R (°)	Temps (s) - R : position R (°)	R (mm) - R : position R (°)	Temps (s) - e1R : écart 1 R (°)	R (mm) - e1R : écart 1 R (°)	Temps (s) - e2R : écart 2 R (°)	R (mm) - e2R : écart 2 R (°)	Temps (s) - e3R : écart 3 R (V)	R (mm) - e3R : écart 3 R (V)	Temps (s) - uR : tension moteur R (V)	R (mm) - uR : tension moteur R (V)	Temps (s) - iR : intensité moteur R (A)	R (mm) - iR : intensité moteur R (A)	Temps (s) - ar : accel radiale (g)       	R (mm) - ar : accel radiale (g)       	Temps (s) - at : accel tangentielle (g)  	R (mm) - at : accel tangentielle (g)  	Temps (s) - gz : gyro Z (°/s)	R (mm) - gz : gyro Z (°/s)	Temps (s) - formule 1	R (mm) - formule 1	Temps (s) - formule 2	R (mm) - formule 2	Temps (s) - Curseur	R (mm) - Curseur
0.504	198.365	0.504	192.861	0.504	5.50411	0.504	5.50411	0.504	5.60643	0.504	8.87153	0.504	0.20874	0.504	4.89303	0.504	3.81238	0.504	1.08065	0.504	1.08065	0.504	1.15223	0.504	1.31613	0.504	0.0732422	0.504	-0.017334	0.504	-0.0205078	0.504	8.78906	0.504	0	0.504	0		
0.507	198.815	0.507	193.308	0.507	5.50686	0.507	5.50686	0.507	5.59132	0.507	8.85728	0.507	0.230713	0.507	4.92304	0.507	3.84144	0.507	1.08161	0.507	1.08161	0.507	1.15223	0.507	1.27336	0.507	0.0787354	0.507	0.0147705	0.507	-0.00830078	0.507	8.52203	0.507	0	0.507	0		
0.51	199.265	0.51	193.765	0.51	5.50042	0.51	5.50042	0.51	5.59636	0.51	8.87153	0.51	0.212402	0.51	4.95306	0.51	3.8722	0.51	1.08085	0.51	1.08085	0.51	1.15727	0.51	1.31613	0.51	0.0823975	0.51	-0.0849609	0.51	-0.0172119	0.51	8.49915	0.51	0	0.51	0		
0.513	199.715	0.513	194.21	0.513	5.50529	0.513	5.50529	0.513	5.58628	0.513	8.95706	0.513	0.20874	0.513	4.98307	0.513	3.9016	0.513	1.08147	0.513	1.08147	0.513	1.15727	0.513	1.25911	0.513	0.0769043	0.513	0.0664062	0.513	0.00866699	0.513	8.59833	0.513	0	0.513	0		
0.516	200.165	0.516	194.66	0.516	5.5045	0.516	5.5045	0.516	5.59636	0.516	8.95706	0.516	0.247192	0.516	5.01308	0.516	3.93134	0.516	1.08174	0.516	1.08174	0.516	1.15727	0.516	1.31613	0.516	0.0695801	0.516	0.00268555	0.516	-0.072876	0.516	8.58307	0.516	0	0.516	0		
0.519	200.615	0.519	195.106	0.519	5.50866	0.519	5.50866	0.519	5.59132	0.519	8.85728	0.519	0.228882	0.519	5.04309	0.519	3.96074	0.519	1.08235	0.519	1.08235	0.519	1.15727	0.519	1.27336	0.519	0.0787354	0.519	0.0366211	0.519	0.0203857	0.519	8.62885	0.519	0	0.519	0		
0.522	201.065	0.522	195.556	0.522	5.50858	0.522	5.50858	0.522	5.59636	0.522	8.88579	0.522	0.199585	0.522	5.07311	0.522	3.99014	0.522	1.08296	0.522	1.08296	0.522	1.1623	0.522	1.27336	0.522	0.0787354	0.522	0.0246582	0.522	-0.03479	0.522	8.37708	0.522	0	0.522	0		
0.525	201.515	0.525	196.01	0.525	5.50497	0.525	5.50497	0.525	5.59636	0.525	8.85728	0.525	0.217896	0.525	5.10312	0.525	4.01989	0.525	1.08323	0.525	1.08323	0.525	1.15727	0.525	1.28762	0.525	0.0787354	0.525	-0.0222168	0.525	0.052002	0.525	8.36945	0.525	0	0.525	0		
0.528	201.965	0.528	196.457	0.528	5.50842	0.528	5.50842	0.528	5.59636	0.528	8.92855	0.528	0.256348	0.528	5.13313	0.528	4.0486	0.528	1.08453	0.528	1.08453	0.528	1.15727	0.528	1.24485	0.528	0.0860596	0.528	-0.0413818	0.528	-0.0557861	0.528	8.43048	0.528	0	0.528	0		
0.531	202.415	0.531	196.909	0.531	5.50622	0.531	5.50622	0.531	5.59636	0.531	8.9143	0.531	0.192261	0.531	5.16314	0.531	4.07766	0.531	1.08549	0.531	1.08549	0.531	1.15727	0.531	1.28762	0.531	0.0823975	0.531	0.00842285	0.531	0.00183105	0.531	8.70514	0.531	0	0.531	0		
0.534	202.865	0.534	197.362	0.534	5.50261	0.534	5.50261	0.534	5.59132	0.534	8.94281	0.534	0.228882	0.534	5.19316	0.534	4.1074	0.534	1.08576	0.534	1.08576	0.534	1.16734	0.534	1.25911	0.534	0.0823975	0.534	-0.00610352	0.534	-0.0216064	0.534	8.35419	0.534	0	0.534	0		
0.537	203.315	0.537	197.811	0.537	5.50395	0.537	5.50395	0.537	5.58628	0.537	8.87153	0.537	0.258179	0.537	5.22317	0.537	4.1368	0.537	1.08637	0.537	1.08637	0.537	1.15727	0.537	1.34464	0.537	0.0695801	0.537	-0.0195312	0.537	-0.00720215	0.537	8.44574	0.537	0	0.537	0		
0.54	203.765	0.54	198.271	0.54	5.49398	0.54	5.49398	0.54	5.59132	0.54	8.87153	0.54	0.183105	0.54	5.25318	0.54	4.16688	0.54	1.0863	0.54	1.0863	0.54	1.15727	0.54	1.28762	0.54	0.0823975	0.54	0.024292	0.54	0.03125	0.54	8.52203	0.54	0	0.54	0		
0.543	204.215	0.543	198.72	0.543	5.4946	0.543	5.4946	0.543	5.58124	0.543	8.94281	0.543	0.206909	0.543	5.28319	0.543	4.19628	0.543	1.08691	0.543	1.08691	0.543	1.1623	0.543	1.30187	0.543	0.0842285	0.543	-0.0118408	0.543	-0.0302734	0.543	8.49915	0.543	0	0.543	0		
0.546	204.665	0.546	199.168	0.546	5.49735	0.546	5.49735	0.546	5.58124	0.546	8.82877	0.546	0.228882	0.546	5.31321	0.546	4.22568	0.546	1.08752	0.546	1.08752	0.546	1.16734	0.546	1.28762	0.546	0.0787354	0.546	0.00231934	0.546	-0.0441895	0.546	8.2016	0.546	0	0.546	0		
0.549	205.115	0.549	199.618	0.549	5.49656	0.549	5.49656	0.549	5.58124	0.549	8.87153	0.549	0.203247	0.549	5.34322	0.549	4.25542	0.549	1.08779	0.549	1.08779	0.549	1.16734	0.549	1.33038	0.549	0.0732422	0.549	-0.0202637	0.549	-0.0192871	0.549	8.68988	0.549	0	0.549	0		
0.552	205.565	0.552	200.069	0.552	5.49648	0.552	5.49648	0.552	5.58628	0.552	8.92855	0.552	0.199585	0.552	5.37323	0.552	4.28517	0.552	1.08807	0.552	1.08807	0.552	1.1623	0.552	1.30187	0.552	0.0787354	0.552	-0.00964355	0.552	0.0153809	0.552	8.44574	0.552	0	0.552	0		
0.555	206.015	0.555	200.522	0.555	5.49287	0.555	5.49287	0.555	5.58628	0.555	8.9143	0.555	0.245361	0.555	5.40324	0.555	4.31491	0.555	1.08834	0.555	1.08834	0.555	1.1623	0.555	1.33038	0.555	0.0750732	0.555	0.0748291	0.555	0.000732422	0.555	8.5144	0.555	0	0.555	0		
0.558	206.465	0.558	200.966	0.558	5.49915	0.558	5.49915	0.558	5.5762	0.558	8.87153	0.558	0.232544	0.558	5.43326	0.558	4.34396	0.558	1.08929	0.558	1.08929	0.558	1.1623	0.558	1.28762	0.558	0.0805664	0.558	0.0598145	0.558	-0.0306396	0.558	8.56018	0.558	0	0.558	0		
0.561	206.915	0.561	201.411	0.561	5.50402	0.561	5.50402	0.561	5.58124	0.561	8.9143	0.561	0.201416	0.561	5.46327	0.561	4.37336	0.561	1.0899	0.561	1.0899	0.561	1.16734	0.561	1.30187	0.561	0.0769043	0.561	0.0183105	0.561	-0.0136719	0.561	8.68225	0.561	0	0.561	0		
0.564	207.365	0.564	201.864	0.564	5.50111	0.564	5.50111	0.564	5.59132	0.564	8.88579	0.564	0.238037	0.564	5.49328	0.564	4.40311	0.564	1.09018	0.564	1.09018	0.564	1.1623	0.564	1.30187	0.564	0.0769043	0.564	-0.0284424	0.564	-0.0146484	0.564	8.41522	0.564	0	0.564	0		
0.567	207.815	0.567	202.312	0.567	5.50315	0.567	5.50315	0.567	5.59132	0.567	8.94281	0.567	0.254517	0.567	5.52329	0.567	4.43251	0.567	1.09079	0.567	1.09079	0.567	1.15727	0.567	1.30187	0.567	0.0732422	0.567	-0.0351562	0.567	0.0274658	0.567	8.57544	0.567	0	0.567	0		
0.57	208.265	0.57	202.767	0.57	5.49813	0.57	5.49813	0.57	5.59132	0.57	8.84302	0.57	0.206909	0.57	5.55331	0.57	4.46259	0.57	1.09072	0.57	1.09072	0.57	1.16734	0.57	1.30187	0.57	0.0842285	0.57	0.081543	0.57	-0.00915527	0.57	8.62885	0.57	0	0.57	0		
0.573	208.715	0.573	203.215	0.573	5.50017	0.573	5.50017	0.573	5.58628	0.573	8.88579	0.573	0.247192	0.573	5.58332	0.573	4.49165	0.573	1.09167	0.573	1.09167	0.573	1.1623	0.573	1.27336	0.573	0.0823975	0.573	0.027832	0.573	-0.0140381	0.573	8.55255	0.573	0	0.573	0		
0.576	209.165	0.576	203.662	0.576	5.50292	0.576	5.50292	0.576	5.58628	0.576	8.92855	0.576	0.270996	0.576	5.61333	0.576	4.52139	0.576	1.09194	0.576	1.09194	0.576	1.17238	0.576	1.30187	0.576	0.0842285	0.576	-0.00561523	0.576	-0.0428467	0.576	8.61359	0.576	0	0.576	0		
0.579	209.615	0.579	204.115	0.579	5.50001	0.579	5.50001	0.579	5.59132	0.579	8.95706	0.579	0.19043	0.579	5.64334	0.579	4.55113	0.579	1.09221	0.579	1.09221	0.579	1.17238	0.579	1.31613	0.579	0.0823975	0.579	-0.0511475	0.579	0.0114746	0.579	8.5907	0.579	0	0.579	0		
0.582	210.065	0.582	204.569	0.582	5.49569	0.582	5.49569	0.582	5.59132	0.582	8.95706	0.582	0.20874	0.582	5.67336	0.582	4.58121	0.582	1.09214	0.582	1.09214	0.582	1.16734	0.582	1.33038	0.582	0.0732422	0.582	-0.0172119	0.582	0.0186768	0.582	8.61359	0.582	0	0.582	0		
0.585	210.515	0.585	205.024	0.585	5.49137	0.585	5.49137	0.585	5.58124	0.585	8.9143	0.585	0.254517	0.585	5.70337	0.585	4.6113	0.585	1.09207	0.585	1.09207	0.585	1.16734	0.585	1.28762	0.585	0.0787354	0.585	0.012207	0.585	0.0098877	0.585	8.71277	0.585	0	0.585	0		
0.588	210.965	0.588	205.472	0.588	5.49341	0.588	5.49341	0.588	5.58628	0.588	8.84302	0.588	0.181274	0.588	5.73338	0.588	4.64104	0.588	1.09234	0.588	1.09234	0.588	1.17238	0.588	1.34464	0.588	0.0714111	0.588	0.0327148	0.588	-0.0200195	0.588	8.78906	0.588	0	0.588	0		
0.591	211.415	0.591	205.922	0.591	5.49333	0.591	5.49333	0.591	5.58124	0.591	8.94281	0.591	0.205078	0.591	5.76339	0.591	4.67078	0.591	1.09261	0.591	1.09261	0.591	1.16734	0.591	1.37315	0.591	0.065918	0.591	-0.00708008	0.591	-0.0212402	0.591	8.65173	0.591	0	0.591	0		
0.594	211.865	0.594	206.377	0.594	5.48831	0.594	5.48831	0.594	5.58124	0.594	8.9143	0.594	0.228882	0.594	5.79341	0.594	4.70086	0.594	1.09254	0.594	1.09254	0.594	1.16734	0.594	1.31613	0.594	0.0805664	0.594	-0.046875	0.594	0.0111084	0.594	8.88062	0.594	0	0.594	0		
0.597	212.315	0.597	206.824	0.597	5.49106	0.597	5.49106	0.597	5.5762	0.597	8.92855	0.597	0.216064	0.597	5.82342	0.597	4.7306	0.597	1.09281	0.597	1.09281	0.597	1.16734	0.597	1.33038	0.597	0.0823975	0.597	0.0808105	0.597	0.0217285	0.597	8.99506	0.597	0	0.597	0		
0.6	212.765	0.6	207.273	0.6	5.49168	0.6	5.49168	0.6	5.5762	0.6	8.88579	0.6	0.221558	0.6	5.85343	0.6	4.76103	0.6	1.0924	0.6	1.0924	0.6	1.17238	0.6	1.31613	0.6	0.0860596	0.6	0.0935059	0.6	-0.0439453	0.6	8.7204	0.6	0	0.6	0		
0.603	213.215	0.603	207.721	0.603	5.49372	0.603	5.49372	0.603	5.5762	0.603	8.9143	0.603	0.241699	0.603	5.88344	0.603	4.79145	0.603	1.09199	0.603	1.09199	0.603	1.16734	0.603	1.33038	0.603	0.0842285	0.603	-0.0361328	0.603	-0.0020752	0.603	8.86536	0.603	0	0.603	0		
0.606	213.665	0.606	208.168	0.606	5.49718	0.606	5.49718	0.606	5.58124	0.606	8.84302	0.606	0.201416	0.606	5.91346	0.606	4.82188	0.606	1.09158	0.606	1.09158	0.606	1.16734	0.606	1.33038	0.606	0.0823975	0.606	-0.0775146	0.606	-0.0177002	0.606	8.84247	0.606	0	0.606	0		
0.609	214.115	0.609	208.616	0.609	5.49851	0.609	5.49851	0.609	5.58628	0.609	8.94281	0.609	0.177612	0.609	5.94347	0.609	4.85265	0.609	1.09082	0.609	1.09082	0.609	1.1623	0.609	1.35889	0.609	0.0714111	0.609	0.0273437	0.609	0.0413818	0.609	8.461	0.609	0	0.609	0		
0.612	214.565	0.612	209.072	0.612	5.49278	0.612	5.49278	0.612	5.58628	0.612	8.94281	0.612	0.236206	0.612	5.97348	0.612	4.88376	0.612	1.08973	0.612	1.08973	0.612	1.1623	0.612	1.34464	0.612	0.0750732	0.612	0.067627	0.612	-0.0057373	0.612	8.75092	0.612	0	0.612	0		
0.615	215.015	0.615	209.52	0.615	5.49482	0.615	5.49482	0.615	5.5762	0.615	8.82877	0.615	0.270996	0.615	6.00349	0.615	4.91418	0.615	1.08931	0.615	1.08931	0.615	1.1623	0.615	1.28762	0.615	0.0823975	0.615	0.00915527	0.615	-0.024292	0.615	9.12476	0.615	0	0.615	0		
0.618	215.465	0.618	209.965	0.618	5.49969	0.618	5.49969	0.618	5.58124	0.618	8.95706	0.618	0.195923	0.618	6.03351	0.618	4.94461	0.618	1.0889	0.618	1.0889	0.618	1.1623	0.618	1.33038	0.618	0.0787354	0.618	0.0170898	0.618	-0.00219727	0.618	8.60596	0.618	0	0.618	0		
0.621	215.915	0.621	210.417	0.621	5.49819	0.621	5.49819	0.621	5.58628	0.621	8.84302	0.621	0.210571	0.621	6.06352	0.621	4.97469	0.621	1.08883	0.621	1.08883	0.621	1.1623	0.621	1.31613	0.621	0.0750732	0.621	-0.0803223	0.621	-0.00341797	0.621	8.81195	0.621	0	0.621	0		
0.624	216.365	0.624	210.87	0.624	5.49458	0.624	5.49458	0.624	5.58628	0.624	8.92855	0.624	0.258179	0.624	6.09353	0.624	5.00511	0.624	1.08842	0.624	1.08842	0.624	1.1623	0.624	1.35889	0.624	0.0714111	0.624	0.00341797	0.624	0.0285645	0.624	8.78906	0.624	0	0.624	0		
0.627	216.815	0.627	211.325	0.627	5.49026	0.627	5.49026	0.627	5.58124	0.627	8.94281	0.627	0.17395	0.627	6.12354	0.627	5.03486	0.627	1.08869	0.627	1.08869	0.627	1.1623	0.627	1.30187	0.627	0.0805664	0.627	0.0418701	0.627	0.00915527	0.627	8.91113	0.627	0	0.627	0		
0.63	217.265	0.63	211.777	0.63	5.48806	0.63	5.48806	0.63	5.5762	0.63	8.9143	0.63	0.227051	0.63	6.15356	0.63	5.0646	0.63	1.08896	0.63	1.08896	0.63	1.17238	0.63	1.31613	0.63	0.0769043	0.63	0.0388184	0.63	-0.0218506	0.63	8.94165	0.63	0	0.63	0		
0.633	217.715	0.633	212.222	0.633	5.49293	0.633	5.49293	0.633	5.57116	0.633	8.92855	0.633	0.245361	0.633	6.18357	0.633	5.094	0.633	1.08957	0.633	1.08957	0.633	1.16734	0.633	1.33038	0.633	0.0805664	0.633	-0.0279541	0.633	-0.020752	0.633	9.06372	0.633	0	0.633	0		
0.636	218.165	0.636	212.674	0.636	5.49073	0.636	5.49073	0.636	5.58124	0.636	8.94281	0.636	0.201416	0.636	6.21358	0.636	5.12374	0.636	1.08984	0.636	1.08984	0.636	1.1623	0.636	1.30187	0.636	0.0823975	0.636	-0.012085	0.636	0.038208	0.636	8.89587	0.636	0	0.636	0		
0.639	218.615	0.639	213.125	0.639	5.48995	0.639	5.48995	0.639	5.58124	0.639	8.92855	0.639	0.227051	0.639	6.24359	0.639	5.15416	0.639	1.08943	0.639	1.08943	0.639	1.15727	0.639	1.31613	0.639	0.0787354	0.639	0.0430908	0.639	-0.0620117	0.639	9.20868	0.639	0	0.639	0		
0.642	219.065	0.642	213.571	0.642	5.49411	0.642	5.49411	0.642	5.57116	0.642	8.81451	0.642	0.263672	0.642	6.27361	0.642	5.18425	0.642	1.08936	0.642	1.08936	0.642	1.1623	0.642	1.34464	0.642	0.0732422	0.642	0.0924072	0.642	-0.000854492	0.642	8.85773	0.642	0	0.642	0		
0.645	219.515	0.645	214.02	0.645	5.49544	0.645	5.49544	0.645	5.58628	0.645	8.92855	0.645	0.219727	0.645	6.30362	0.645	5.21467	0.645	1.08895	0.645	1.08895	0.645	1.1623	0.645	1.34464	0.645	0.0732422	0.645	-0.00524902	0.645	-0.00537109	0.645	8.85773	0.645	0	0.645	0		
0.648	219.965	0.648	214.463	0.648	5.50172	0.648	5.50172	0.648	5.58124	0.648	8.87153	0.648	0.197754	0.648	6.33363	0.648	5.2451	0.648	1.08853	0.648	1.08853	0.648	1.1623	0.648	1.30187	0.648	0.0823975	0.648	-0.0140381	0.648	0.019165	0.648	8.96454	0.648	0	0.648	0		
0.651	220.415	0.651	214.918	0.651	5.4974	0.651	5.4974	0.651	5.59132	0.651	8.94281	0.651	0.230713	0.651	6.36364	0.651	5.27621	0.651	1.08744	0.651	1.08744	0.651	1.1623	0.651	1.33038	0.651	0.0787354	0.651	-0.0290527	0.651	-0.00952148	0.651	8.96454	0.651	0	0.651	0		
0.654	220.865	0.654	215.366	0.654	5.49874	0.654	5.49874	0.654	5.58628	0.654	8.84302	0.654	0.221558	0.654	6.39366	0.654	5.30663	0.654	1.08702	0.654	1.08702	0.654	1.16734	0.654	1.31613	0.654	0.0787354	0.654	0.0311279	0.654	-0.0441895	0.654	8.91876	0.654	0	0.654	0		
0.657	221.315	0.657	215.82	0.657	5.49512	0.657	5.49512	0.657	5.58124	0.657	8.95706	0.657	0.201416	0.657	6.42367	0.657	5.3374	0.657	1.08627	0.657	1.08627	0.657	1.15727	0.657	1.34464	0.657	0.0769043	0.657	0.0340576	0.657	-0.0491943	0.657	8.88062	0.657	0	0.657	0		
0.66	221.765	0.66	216.271	0.66	5.49363	0.66	5.49363	0.66	5.58124	0.66	8.84302	0.66	0.227051	0.66	6.45368	0.66	5.36782	0.66	1.08586	0.66	1.08586	0.66	1.1623	0.66	1.31613	0.66	0.0732422	0.66	0.0467529	0.66	0.0252686	0.66	8.49152	0.66	0	0.66	0		
0.663	222.215	0.663	216.717	0.663	5.4985	0.663	5.4985	0.663	5.58124	0.663	8.84302	0.663	0.254517	0.663	6.48369	0.663	5.39757	0.663	1.08613	0.663	1.08613	0.663	1.15727	0.663	1.30187	0.663	0.0714111	0.663	-0.0467529	0.663	0.0200195	0.663	8.7738	0.663	0	0.663	0		
0.666	222.665	0.666	217.17	0.666	5.49489	0.666	5.49489	0.666	5.58628	0.666	8.87153	0.666	0.175781	0.666	6.51371	0.666	5.42731	0.666	1.0864	0.666	1.0864	0.666	1.15727	0.666	1.34464	0.666	0.0732422	0.666	-0.0322266	0.666	-0.0162354	0.666	8.9035	0.666	0	0.666	0		
0.669	223.115	0.669	217.625	0.669	5.48986	0.669	5.48986	0.669	5.58124	0.669	8.90004	0.669	0.221558	0.669	6.54372	0.669	5.45705	0.669	1.08667	0.669	1.08667	0.669	1.15727	0.669	1.25911	0.669	0.0860596	0.669	-0.00134277	0.669	-0.0394287	0.669	8.81195	0.669	0	0.669	0		
0.672	223.565	0.672	218.076	0.672	5.48907	0.672	5.48907	0.672	5.58124	0.672	8.90004	0.672	0.267334	0.672	6.57373	0.672	5.48679	0.672	1.08694	0.672	1.08694	0.672	1.1623	0.672	1.27336	0.672	0.0860596	0.672	0.0581055	0.672	-0.0126953	0.672	8.6441	0.672	0	0.672	0		
0.675	224.015	0.675	218.527	0.675	5.48829	0.675	5.48829	0.675	5.5762	0.675	8.94281	0.675	0.186768	0.675	6.60374	0.675	5.51653	0.675	1.08721	0.675	1.08721	0.675	1.16734	0.675	1.28762	0.675	0.0823975	0.675	0.0111084	0.675	0.00952148	0.675	8.72803	0.675	0	0.675	0		
0.678	224.465	0.678	218.973	0.678	5.49245	0.678	5.49245	0.678	5.5762	0.678	8.9143	0.678	0.206909	0.678	6.63376	0.678	5.54661	0.678	1.08714	0.678	1.08714	0.678	1.16734	0.678	1.34464	0.678	0.0695801	0.678	-0.020752	0.678	0.0100098	0.678	8.78143	0.678	0	0.678	0		
0.681	224.915	0.681	219.424	0.681	5.49096	0.681	5.49096	0.681	5.58124	0.681	8.82877	0.681	0.230713	0.681	6.66377	0.681	5.5767	0.681	1.08707	0.681	1.08707	0.681	1.15727	0.681	1.28762	0.681	0.0823975	0.681	0.0152588	0.681	-0.0354004	0.681	8.75092	0.681	0	0.681	0		
0.684	225.365	0.684	219.876	0.684	5.48946	0.684	5.48946	0.684	5.5762	0.684	8.9143	0.684	0.221558	0.684	6.69378	0.684	5.60746	0.684	1.08632	0.684	1.08632	0.684	1.15727	0.684	1.33038	0.684	0.0769043	0.684	0.0554199	0.684	-0.0224609	0.684	8.74329	0.684	0	0.684	0		
0.687	225.815	0.687	220.321	0.687	5.49433	0.687	5.49433	0.687	5.5762	0.687	8.92855	0.687	0.210571	0.687	6.72379	0.687	5.63789	0.687	1.0859	0.687	1.0859	0.687	1.15727	0.687	1.31613	0.687	0.0787354	0.687	0.0228271	0.687	-0.0272217	0.687	8.71277	0.687	0	0.687	0		
0.69	226.265	0.69	220.774	0.69	5.49072	0.69	5.49072	0.69	5.58124	0.69	8.82877	0.69	0.254517	0.69	6.75381	0.69	5.66866	0.69	1.08515	0.69	1.08515	0.69	1.15727	0.69	1.33038	0.69	0.0769043	0.69	0.0812988	0.69	0.00366211	0.69	8.48389	0.69	0	0.69	0		
0.693	226.715	0.693	221.219	0.693	5.49559	0.693	5.49559	0.693	5.5762	0.693	8.82877	0.693	0.223389	0.693	6.78382	0.693	5.69908	0.693	1.08474	0.693	1.08474	0.693	1.15727	0.693	1.33038	0.693	0.0714111	0.693	0.00146484	0.693	0.0192871	0.693	8.6441	0.693	0	0.693	0		
0.696	227.165	0.696	221.666	0.696	5.49904	0.696	5.49904	0.696	5.5762	0.696	8.85728	0.696	0.199585	0.696	6.81383	0.696	5.72917	0.696	1.08466	0.696	1.08466	0.696	1.15727	0.696	1.34464	0.696	0.0714111	0.696	0.00390625	0.696	-0.0446777	0.696	8.461	0.696	0	0.696	0		
0.699	227.615	0.699	222.114	0.699	5.50108	0.699	5.50108	0.699	5.58628	0.699	8.87153	0.699	0.247192	0.699	6.84384	0.699	5.75925	0.699	1.08459	0.699	1.08459	0.699	1.1623	0.699	1.34464	0.699	0.0732422	0.699	0.010376	0.699	-0.0186768	0.699	8.36945	0.699	0	0.699	0		
0.702	228.065	0.702	222.56	0.702	5.50453	0.702	5.50453	0.702	5.58628	0.702	8.82877	0.702	0.269165	0.702	6.87385	0.702	5.78865	0.702	1.08521	0.702	1.08521	0.702	1.15727	0.702	1.25911	0.702	0.0787354	0.702	0.0440674	0.702	0.00549316	0.702	8.45337	0.702	0	0.702	0		
0.705	228.515	0.705	223.015	0.705	5.49951	0.705	5.49951	0.705	5.59132	0.705	8.88579	0.705	0.197754	0.705	6.90387	0.705	5.81839	0.705	1.08548	0.705	1.08548	0.705	1.15727	0.705	1.33038	0.705	0.0823975	0.705	-0.0239258	0.705	0.0360107	0.705	8.67462	0.705	0	0.705	0		
0.708	228.965	0.708	223.465	0.708	5.50014	0.708	5.50014	0.708	5.58628	0.708	8.85728	0.708	0.230713	0.708	6.93388	0.708	5.84779	0.708	1.08609	0.708	1.08609	0.708	1.15727	0.708	1.27336	0.708	0.0842285	0.708	0.0340576	0.708	0.00549316	0.708	8.72803	0.708	0	0.708	0		
0.711	229.415	0.711	223.912	0.711	5.50288	0.711	5.50288	0.711	5.58628	0.711	8.92855	0.711	0.283814	0.711	6.96389	0.711	5.87685	0.711	1.08704	0.711	1.08704	0.711	1.1623	0.711	1.31613	0.711	0.0805664	0.711	-0.00280762	0.711	-0.0474854	0.711	8.50677	0.711	0	0.711	0		
0.714	229.865	0.714	224.366	0.714	5.49927	0.714	5.49927	0.714	5.59132	0.714	8.92855	0.714	0.205078	0.714	6.9939	0.714	5.90625	0.714	1.08766	0.714	1.08766	0.714	1.1623	0.714	1.31613	0.714	0.0769043	0.714	0.0115967	0.714	-0.0167236	0.714	8.49915	0.714	0	0.714	0		
0.717	230.315	0.717	224.817	0.717	5.49778	0.717	5.49778	0.717	5.58628	0.717	8.94281	0.717	0.210571	0.717	7.02392	0.717	5.93599	0.717	1.08793	0.717	1.08793	0.717	1.15727	0.717	1.30187	0.717	0.0823975	0.717	-0.00964355	0.717	-0.00415039	0.717	8.49152	0.717	0	0.717	0		
0.72	230.765	0.72	225.272	0.72	5.49346	0.72	5.49346	0.72	5.58628	0.72	8.82877	0.72	0.256348	0.72	7.05393	0.72	5.96573	0.72	1.0882	0.72	1.0882	0.72	1.1623	0.72	1.28762	0.72	0.0823975	0.72	0.0198975	0.72	0.0290527	0.72	8.56018	0.72	0	0.72	0		
0.723	231.215	0.723	225.72	0.723	5.49479	0.723	5.49479	0.723	5.58124	0.723	8.92855	0.723	0.205078	0.723	7.08394	0.723	5.99547	0.723	1.08847	0.723	1.08847	0.723	1.1623	0.723	1.30187	0.723	0.0787354	0.723	0.0205078	0.723	-0.0495605	0.723	8.52966	0.723	0	0.723	0		
0.726	231.665	0.726	226.163	0.726	5.50249	0.726	5.50249	0.726	5.5762	0.726	8.95706	0.726	0.234375	0.726	7.11395	0.726	6.02453	0.726	1.08943	0.726	1.08943	0.726	1.17238	0.726	1.30187	0.726	0.0823975	0.726	0.0101318	0.726	-0.0480957	0.726	8.56018	0.726	0	0.726	0		
0.729	232.115	0.729	226.609	0.729	5.50594	0.729	5.50594	0.729	5.59132	0.729	8.95706	0.729	0.254517	0.729	7.14397	0.729	6.05427	0.729	1.0897	0.729	1.0897	0.729	1.1623	0.729	1.31613	0.729	0.0769043	0.729	0.0762939	0.729	0.026001	0.729	8.23975	0.729	0	0.729	0		
0.732	232.565	0.732	227.06	0.732	5.50515	0.732	5.50515	0.732	5.59636	0.732	8.97132	0.732	0.214233	0.732	7.17398	0.732	6.08401	0.732	1.08997	0.732	1.08997	0.732	1.1623	0.732	1.33038	0.732	0.0732422	0.732	-0.0289307	0.732	-0.0147705	0.732	8.49152	0.732	0	0.732	0		
0.735	233.015	0.735	227.51	0.735	5.50507	0.735	5.50507	0.735	5.59132	0.735	8.87153	0.735	0.20874	0.735	7.20399	0.735	6.11375	0.735	1.09024	0.735	1.09024	0.735	1.1623	0.735	1.27336	0.735	0.0805664	0.735	0.0311279	0.735	0.0489502	0.735	8.46863	0.735	0	0.735	0		
0.738	233.465	0.738	227.956	0.738	5.50853	0.738	5.50853	0.738	5.59132	0.738	8.95706	0.738	0.254517	0.738	7.234	0.738	6.14315	0.738	1.09085	0.738	1.09085	0.738	1.1623	0.738	1.31613	0.738	0.0860596	0.738	0.0198975	0.738	-0.0783691	0.738	8.62122	0.738	0	0.738	0		
