FICHIER :;c:\Users\admin\Desktop\V_1500_0m.eposacq
Date :;03/07/2023
Heure :;10:09:58

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 1500 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     19957;         0;      2019;      5871;
         1;      20,0;;     19957;         0;      2019;      5871;
         2;      40,0;;     19957;         0;      2019;      5871;
         3;      60,0;;     19957;         0;      2018;      5871;
         4;      80,0;;     19957;         0;      2019;      5871;
         5;     100,0;;     19957;         0;      2019;      5871;
         6;     120,0;;     19957;         0;      2019;      5871;
         7;     140,0;;     19959;         2;      2864;      5871;
         8;     160,0;;     20362;       311;      7317;      5871;
         9;     180,0;;     21369;       881;      3467;      5871;
        10;     200,0;;     22420;      1208;      3137;      5871;
        11;     220,0;;     23476;      1385;      2881;      5871;
        12;     240,0;;     24567;      1503;      2305;      5871;
        13;     260,0;;     25655;      1564;      2119;      5871;
        14;     280,0;;     26699;      1563;      2331;      5871;
        15;     300,0;;     27700;      1533;      2725;      5871;
        16;     320,0;;     28671;      1497;      3028;      5871;
        17;     340,0;;     29655;      1487;      2993;      5871;
        18;     360,0;;     30667;      1503;      2669;      5871;
        19;     380,0;;     31699;      1524;      2434;      5871;
        20;     400,0;;     32723;      1529;      2444;      5871;
        21;     420,0;;     33713;      1507;      2771;      5871;
        22;     440,0;;     34683;      1483;      3004;      5871;
        23;     460,0;;     35663;      1478;      2941;      5871;
        24;     480,0;;     36675;      1497;      2671;      5871;
        25;     500,0;;     37696;      1513;      2510;      5871;
        26;     520,0;;     38709;      1516;      2600;      5871;
        27;     540,0;;     39704;      1504;      2725;      5871;
        28;     560,0;;     40689;      1491;      2883;      5871;
        29;     580,0;;     41685;      1493;      2746;      5871;
        30;     600,0;;     42692;      1502;      2646;      5871;
        31;     620,0;;     43711;      1515;      2487;      5871;
        32;     640,0;;     44721;      1514;      2567;      5871;
        33;     660,0;;     45715;      1502;      2727;      5871;
        34;     680,0;;     46701;      1491;      2818;      5871;
        35;     700,0;;     47698;      1493;      2741;      5871;
        36;     720,0;;     48702;      1500;      2631;      5871;
        37;     740,0;;     49714;      1509;      2547;      5871;
        38;     760,0;;     50720;      1509;      2564;      5871;
        39;     780,0;;     51713;      1499;      2740;      5871;
        40;     800,0;;     52705;      1494;      2755;      5871;
        41;     820,0;;     53697;      1491;      2776;      5871;
        42;     840,0;;     54703;      1499;      2647;      5871;
        43;     860,0;;     55708;      1504;      2599;      5871;
        44;     880,0;;     56715;      1507;      2603;      5871;
        45;     900,0;;     57712;      1502;      2659;      5871;
        46;     920,0;;     58709;      1499;      2702;      5871;
        47;     940,0;;     59705;      1496;      2698;      5871;
        48;     960,0;;     60705;      1497;      2700;      5871;
        49;     980,0;;     61705;      1499;      2686;      5871;
        50;    1000,0;;     62703;      1498;      2706;      5871;
        51;    1020,0;;     63703;      1498;      2690;      5871;
        52;    1040,0;;     64701;      1499;      2693;      5871;
        53;    1060,0;;     65702;      1500;      2683;      5871;
        54;    1080,0;;     66699;      1497;      2716;      5871;
        55;    1100,0;;     67697;      1497;      2748;      5871;
        56;    1120,0;;     68693;      1496;      2749;      5871;
        57;    1140,0;;     69692;      1496;      2752;      5871;
        58;    1160,0;;     70694;      1500;      2681;      5871;
        59;    1180,0;;     71693;      1499;      2725;      5871;
        60;    1200,0;;     72696;      1502;      2663;      5871;
        61;    1220,0;;     73696;      1500;      2697;      5871;
        62;    1240,0;;     74693;      1499;      2751;      5871;
        63;    1260,0;;     75689;      1496;      2762;      5871;
        64;    1280,0;;     76690;      1499;      2739;      5871;
        65;    1300,0;;     77691;      1500;      2697;      5871;
        66;    1320,0;;     78695;      1502;      2690;      5871;
        67;    1340,0;;     79697;      1503;      2668;      5871;
        68;    1360,0;;     80694;      1500;      2736;      5871;
        69;    1380,0;;     81697;      1502;      2670;      5871;
        70;    1400,0;;     82697;      1501;      2700;      5871;
        71;    1420,0;;     83702;      1503;      2664;      5871;
        72;    1440,0;;     84701;      1502;      2686;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

