FICHIER :;c:\Users\admin\Desktop\V_4500_0m.eposacq
Date :;03/07/2023
Heure :;10:14:16

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 4500 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     16755;         0;      2222;      5871;
         1;      20,0;;     16755;         0;      2222;      5871;
         2;      40,0;;     16755;         0;      2222;      5871;
         3;      60,0;;     16755;         0;      2222;      5871;
         4;      80,0;;     16755;         0;      2222;      5871;
         5;     100,0;;     16755;         0;      2222;      5871;
         6;     120,0;;     16755;         0;      2222;      5871;
         7;     140,0;;     16874;        92;      7091;      5871;
         8;     160,0;;     17741;       677;      7441;      5871;
         9;     180,0;;     19423;      1559;      7429;      5871;
        10;     200,0;;     21854;      2554;      7445;      5871;
        11;     220,0;;     24996;      3581;      5114;      5871;
        12;     240,0;;     28392;      4291;      2400;      5871;
        13;     260,0;;     31712;      4613;      2060;      5871;
        14;     280,0;;     34962;      4735;      1876;      5871;
        15;     300,0;;     38119;      4733;      2232;      5871;
        16;     320,0;;     41179;      4664;      2871;      5871;
        17;     340,0;;     44182;      4589;      3296;      5871;
        18;     360,0;;     47188;      4551;      3228;      5871;
        19;     380,0;;     50230;      4558;      2758;      5871;
        20;     400,0;;     53292;      4574;      2433;      5871;
        21;     420,0;;     56335;      4569;      2500;      5871;
        22;     440,0;;     59335;      4536;      2856;      5871;
        23;     460,0;;     62303;      4496;      3226;      5871;
        24;     480,0;;     65281;      4483;      3164;      5871;
        25;     500,0;;     68294;      4500;      2818;      5871;
        26;     520,0;;     71323;      4520;      2610;      5871;
        27;     540,0;;     74337;      4520;      2719;      5871;
        28;     560,0;;     77323;      4501;      3014;      5871;
        29;     580,0;;     80303;      4487;      3103;      5871;
        30;     600,0;;     83302;      4492;      2930;      5871;
        31;     620,0;;     86320;      4509;      2711;      5871;
        32;     640,0;;     89339;      4518;      2675;      5871;
        33;     660,0;;     92339;      4509;      2827;      5871;
        34;     680,0;;     95326;      4496;      2987;      5871;
        35;     700,0;;     98305;      4482;      3120;      5871;
        36;     720,0;;    101297;      4485;      3006;      5871;
        37;     740,0;;    104303;      4497;      2871;      5871;
        38;     760,0;;    107309;      4502;      2864;      5871;
        39;     780,0;;    110313;      4504;      2875;      5871;
        40;     800,0;;    113312;      4502;      2904;      5871;
        41;     820,0;;    116313;      4502;      2884;      5871;
        42;     840,0;;    119319;      4504;      2836;      5871;
        43;     860,0;;    122325;      4507;      2799;      5871;
        44;     880,0;;    125330;      4507;      2807;      5871;
        45;     900,0;;    128326;      4501;      2818;      5871;
        46;     920,0;;    130990;      4246;     -3771;      5871;
        47;     940,0;;    132351;      3182;     -5246;      5871;
        48;     960,0;;    132458;      1747;     -1016;      5871;
        49;     980,0;;    132304;       816;       943;      5871;
        50;    1000,0;;    132135;       313;      1585;      5871;
        51;    1020,0;;    131915;        10;      2726;      5871;
        52;    1040,0;;    131756;      -104;      2535;      5871;
        53;    1060,0;;    131728;       -73;      1516;      5871;
        54;    1080,0;;    131728;       -39;      1367;      5871;
        55;    1100,0;;    131728;       -21;      1367;      5871;
        56;    1120,0;;    131719;       -18;      1493;      5871;
        57;    1140,0;;    131683;       -35;      1820;      5871;
        58;    1160,0;;    131664;       -31;      1695;      5871;
        59;    1180,0;;    131664;       -16;      1566;      5871;
        60;    1200,0;;    131664;        -9;      1564;      5871;
        61;    1220,0;;    131664;        -5;      1564;      5871;
        62;    1240,0;;    131663;        -3;      1578;      5871;
        63;    1260,0;;    131660;        -4;      1601;      5871;
        64;    1280,0;;    131660;        -2;      1578;      5871;
        65;    1300,0;;    131660;        -1;      1578;      5871;
        66;    1320,0;;    131660;        -1;      1578;      5871;
        67;    1340,0;;    131660;         0;      1578;      5871;
        68;    1360,0;;    131660;         0;      1578;      5871;
        69;    1380,0;;    131660;         0;      1578;      5871;
        70;    1400,0;;    131660;         0;      1578;      5871;
        71;    1420,0;;    131660;         0;      1578;      5871;
        72;    1440,0;;    131660;         0;      1578;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

