FICHIER :;c:\Users\admin\Desktop\V_2500_0m.eposacq
Date :;03/07/2023
Heure :;10:10:57

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 2500 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     20469;         0;      2237;      5871;
         1;      20,0;;     20469;         0;      2237;      5871;
         2;      40,0;;     20469;         0;      2237;      5871;
         3;      60,0;;     20469;         0;      2237;      5871;
         4;      80,0;;     20469;         0;      2237;      5871;
         5;     100,0;;     20469;         0;      2237;      5871;
         6;     120,0;;     20469;         0;      2237;      5871;
         7;     140,0;;     20585;        95;      7055;      5871;
         8;     160,0;;     21452;       686;      7435;      5871;
         9;     180,0;;     23100;      1546;      5271;      5871;
        10;     200,0;;     24988;      2149;      3202;      5871;
        11;     220,0;;     26852;      2453;      2782;      5871;
        12;     240,0;;     28731;      2625;      1962;      5871;
        13;     260,0;;     30575;      2689;      1783;      5871;
        14;     280,0;;     32335;      2664;      2222;      5871;
        15;     300,0;;     34013;      2593;      2905;      5871;
        16;     320,0;;     35647;      2525;      3316;      5871;
        17;     340,0;;     37288;      2496;      3295;      5871;
        18;     360,0;;     38987;      2522;      2761;      5871;
        19;     380,0;;     40713;      2555;      2226;      5871;
        20;     400,0;;     42431;      2563;      2294;      5871;
        21;     420,0;;     44096;      2531;      2733;      5871;
        22;     440,0;;     45723;      2487;      3185;      5871;
        23;     460,0;;     47363;      2476;      3081;      5871;
        24;     480,0;;     49039;      2494;      2719;      5871;
        25;     500,0;;     50750;      2528;      2393;      5871;
        26;     520,0;;     52435;      2527;      2480;      5871;
        27;     540,0;;     54094;      2508;      2808;      5871;
        28;     560,0;;     55736;      2487;      2982;      5871;
        29;     580,0;;     57384;      2480;      2964;      5871;
        30;     600,0;;     59062;      2498;      2702;      5871;
        31;     620,0;;     60744;      2509;      2543;      5871;
        32;     640,0;;     62426;      2515;      2625;      5871;
        33;     660,0;;     64083;      2502;      2753;      5871;
        34;     680,0;;     65730;      2485;      2977;      5871;
        35;     700,0;;     67383;      2484;      2925;      5871;
        36;     720,0;;     69051;      2493;      2745;      5871;
        37;     740,0;;     70738;      2510;      2612;      5871;
        38;     760,0;;     72412;      2511;      2640;      5871;
        39;     780,0;;     74075;      2502;      2793;      5871;
        40;     800,0;;     75727;      2491;      2913;      5871;
        41;     820,0;;     77386;      2491;      2840;      5871;
        42;     840,0;;     79060;      2501;      2693;      5871;
        43;     860,0;;     80741;      2510;      2617;      5871;
        44;     880,0;;     82416;      2512;      2657;      5871;
        45;     900,0;;     84078;      2503;      2752;      5871;
        46;     920,0;;     85740;      2499;      2791;      5871;
        47;     940,0;;     87406;      2499;      2738;      5871;
        48;     960,0;;     89073;      2499;      2729;      5871;
        49;     980,0;;     90741;      2501;      2757;      5871;
        50;    1000,0;;     92398;      2493;      2818;      5871;
        51;    1020,0;;     94058;      2492;      2880;      5871;
        52;    1040,0;;     95720;      2492;      2831;      5871;
        53;    1060,0;;     97384;      2494;      2848;      5871;
        54;    1080,0;;     99056;      2501;      2782;      5871;
        55;    1100,0;;    100718;      2497;      2815;      5871;
        56;    1120,0;;    102382;      2495;      2903;      5871;
        57;    1140,0;;    104041;      2493;      2871;      5871;
        58;    1160,0;;    105706;      2495;      2866;      5871;
        59;    1180,0;;    107380;      2502;      2798;      5871;
        60;    1200,0;;    109049;      2503;      2758;      5871;
        61;    1220,0;;    110725;      2507;      2771;      5871;
        62;    1240,0;;    112390;      2504;      2755;      5871;
        63;    1260,0;;    114061;      2505;      2760;      5871;
        64;    1280,0;;    115736;      2508;      2703;      5871;
        65;    1300,0;;    117403;      2505;      2740;      5871;
        66;    1320,0;;    119077;      2508;      2701;      5871;
        67;    1340,0;;    120742;      2503;      2716;      5871;
        68;    1360,0;;    122409;      2501;      2788;      5871;
        69;    1380,0;;    124070;      2497;      2749;      5871;
        70;    1400,0;;    125736;      2497;      2796;      5871;
        71;    1420,0;;    127400;      2497;      2216;      5871;
        72;    1440,0;;    128606;      2141;     -4474;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

