FICHIER :;c:\Users\admin\Desktop\V_2000_0m.eposacq
Date :;03/07/2023
Heure :;10:10:30

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 2000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     19553;         0;      2185;      5871;
         1;      20,0;;     19553;         0;      2185;      5871;
         2;      40,0;;     19553;         0;      2185;      5871;
         3;      60,0;;     19553;         0;      2185;      5871;
         4;      80,0;;     19553;         0;      2185;      5871;
         5;     100,0;;     19553;         0;      2185;      5871;
         6;     120,0;;     19553;         0;      2185;      5871;
         7;     140,0;;     19630;        62;      6716;      5871;
         8;     160,0;;     20414;       609;      7438;      5871;
         9;     180,0;;     21835;      1330;      3624;      5871;
        10;     200,0;;     23291;      1730;      3213;      5871;
        11;     220,0;;     24748;      1944;      2765;      5871;
        12;     240,0;;     26232;      2077;      2047;      5871;
        13;     260,0;;     27690;      2126;      1956;      5871;
        14;     280,0;;     29080;      2105;      2352;      5871;
        15;     300,0;;     30407;      2050;      2913;      5871;
        16;     320,0;;     31703;      2000;      3252;      5871;
        17;     340,0;;     33019;      1989;      3086;      5871;
        18;     360,0;;     34380;      2015;      2621;      5871;
        19;     380,0;;     35761;      2041;      2334;      5871;
        20;     400,0;;     37123;      2041;      2456;      5871;
        21;     420,0;;     38443;      2011;      2839;      5871;
        22;     440,0;;     39741;      1981;      3122;      5871;
        23;     460,0;;     41059;      1981;      2932;      5871;
        24;     480,0;;     42412;      2004;      2610;      5871;
        25;     500,0;;     43780;      2027;      2383;      5871;
        26;     520,0;;     45129;      2025;      2540;      5871;
        27;     540,0;;     46451;      2005;      2788;      5871;
        28;     560,0;;     47764;      1988;      2919;      5871;
        29;     580,0;;     49086;      1986;      2852;      5871;
        30;     600,0;;     50429;      2000;      2654;      5871;
        31;     620,0;;     51777;      2010;      2562;      5871;
        32;     640,0;;     53118;      2010;      2625;      5871;
        33;     660,0;;     54447;      2002;      2726;      5871;
        34;     680,0;;     55767;      1992;      2828;      5871;
        35;     700,0;;     57095;      1992;      2749;      5871;
        36;     720,0;;     58437;      2002;      2623;      5871;
        37;     740,0;;     59781;      2009;      2595;      5871;
        38;     760,0;;     61119;      2008;      2632;      5871;
        39;     780,0;;     62444;      1999;      2768;      5871;
        40;     800,0;;     63765;      1992;      2842;      5871;
        41;     820,0;;     65090;      1991;      2819;      5871;
        42;     840,0;;     66425;      1996;      2756;      5871;
        43;     860,0;;     67766;      2003;      2692;      5871;
        44;     880,0;;     69102;      2004;      2722;      5871;
        45;     900,0;;     70430;      1997;      2805;      5871;
        46;     920,0;;     71758;      1995;      2813;      5871;
        47;     940,0;;     73093;      1997;      2731;      5871;
        48;     960,0;;     74429;      2000;      2718;      5871;
        49;     980,0;;     75760;      1997;      2759;      5871;
        50;    1000,0;;     77093;      1998;      2731;      5871;
        51;    1020,0;;     78425;      1998;      2744;      5871;
        52;    1040,0;;     79764;      2003;      2671;      5871;
        53;    1060,0;;     81102;      2005;      2670;      5871;
        54;    1080,0;;     82439;      2007;      2672;      5871;
        55;    1100,0;;     83777;      2007;      2667;      5871;
        56;    1120,0;;     85111;      2005;      2699;      5871;
        57;    1140,0;;     86442;      2002;      2732;      5871;
        58;    1160,0;;     87775;      2001;      2718;      5871;
        59;    1180,0;;     89105;      1997;      2776;      5871;
        60;    1200,0;;     90433;      1995;      2770;      5871;
        61;    1220,0;;     91761;      1993;      2799;      5871;
        62;    1240,0;;     93092;      1994;      2756;      5871;
        63;    1260,0;;     94425;      1996;      2749;      5871;
        64;    1280,0;;     95757;      1997;      2760;      5871;
        65;    1300,0;;     97088;      1997;      2770;      5871;
        66;    1320,0;;     98417;      1996;      2811;      5871;
        67;    1340,0;;     99747;      1997;      2831;      5871;
        68;    1360,0;;    101076;      1995;      2844;      5871;
        69;    1380,0;;    102405;      1996;      2864;      5871;
        70;    1400,0;;    103737;      1997;      2845;      5871;
        71;    1420,0;;    105069;      1996;      2852;      5871;
        72;    1440,0;;    106402;      1998;      2834;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

