FICHIER :;c:\Users\admin\Desktop\V_1000_0m.eposacq
Date :;03/07/2023
Heure :;10:09:23

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 1000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;      5871;         0;      1499;      5871;
         1;      20,0;;      5871;         0;      1499;      5871;
         2;      40,0;;      5871;         0;      1499;      5871;
         3;      60,0;;      5871;         0;      1499;      5871;
         4;      80,0;;      5871;         0;      1499;      5871;
         5;     100,0;;      5871;         0;      1499;      5871;
         6;     120,0;;      5871;         0;      1499;      5871;
         7;     140,0;;      5858;       -11;      1928;      5871;
         8;     160,0;;      6117;       193;      4640;      5871;
         9;     180,0;;      6633;       468;      3446;      5871;
        10;     200,0;;      7203;       652;      3238;      5871;
        11;     220,0;;      7814;       779;      3032;      5871;
        12;     240,0;;      8472;       878;      2662;      5871;
        13;     260,0;;      9146;       942;      2561;      5871;
        14;     280,0;;      9815;       971;      2604;      5871;
        15;     300,0;;     10465;       973;      2850;      5871;
        16;     320,0;;     11115;       974;      2915;      5871;
        17;     340,0;;     11774;       980;      2835;      5871;
        18;     360,0;;     12448;       996;      2665;      5871;
        19;     380,0;;     13135;      1012;      2516;      5871;
        20;     400,0;;     13816;      1016;      2544;      5871;
        21;     420,0;;     14483;      1008;      2653;      5871;
        22;     440,0;;     15139;       997;      2759;      5871;
        23;     460,0;;     15795;       991;      2820;      5871;
        24;     480,0;;     16464;       997;      2682;      5871;
        25;     500,0;;     17138;      1003;      2619;      5871;
        26;     520,0;;     17812;      1006;      2588;      5871;
        27;     540,0;;     18477;      1002;      2670;      5871;
        28;     560,0;;     19137;       996;      2750;      5871;
        29;     580,0;;     19802;       997;      2703;      5871;
        30;     600,0;;     20470;      1000;      2643;      5871;
        31;     620,0;;     21141;      1002;      2609;      5871;
        32;     640,0;;     21805;       999;      2718;      5871;
        33;     660,0;;     22468;       997;      2706;      5871;
        34;     680,0;;     23129;       994;      2720;      5871;
        35;     700,0;;     23791;       995;      2720;      5871;
        36;     720,0;;     24460;       999;      2657;      5871;
        37;     740,0;;     25132;      1003;      2621;      5871;
        38;     760,0;;     25803;      1006;      2615;      5871;
        39;     780,0;;     26471;      1004;      2641;      5871;
        40;     800,0;;     27136;      1001;      2685;      5871;
        41;     820,0;;     27804;      1002;      2664;      5871;
        42;     840,0;;     28471;      1001;      2650;      5871;
        43;     860,0;;     29139;      1002;      2652;      5871;
        44;     880,0;;     29804;      1000;      2708;      5871;
        45;     900,0;;     30466;       996;      2734;      5871;
        46;     920,0;;     31130;       996;      2731;      5871;
        47;     940,0;;     31793;       995;      2748;      5871;
        48;     960,0;;     32457;       995;      2753;      5871;
        49;     980,0;;     33124;       997;      2763;      5871;
        50;    1000,0;;     33790;       998;      2740;      5871;
        51;    1020,0;;     34457;       998;      2724;      5871;
        52;    1040,0;;     35121;       997;      2777;      5871;
        53;    1060,0;;     35790;       999;      2724;      5871;
        54;    1080,0;;     36458;      1000;      2696;      5871;
        55;    1100,0;;     37126;      1000;      2712;      5871;
        56;    1120,0;;     37793;      1000;      2724;      5871;
        57;    1140,0;;     38460;      1000;      2702;      5871;
        58;    1160,0;;     39128;      1000;      2690;      5871;
        59;    1180,0;;     39795;      1000;      2674;      5871;
        60;    1200,0;;     40465;      1003;      2639;      5871;
        61;    1220,0;;     41136;      1005;      2622;      5871;
        62;    1240,0;;     41807;      1006;      2597;      5871;
        63;    1260,0;;     42477;      1006;      2580;      5871;
        64;    1280,0;;     43146;      1006;      2584;      5871;
        65;    1300,0;;     43815;      1005;      2594;      5871;
        66;    1320,0;;     44484;      1004;      2585;      5871;
        67;    1340,0;;     45146;       999;      2642;      5871;
        68;    1360,0;;     45808;       997;      2658;      5871;
        69;    1380,0;;     46473;       998;      2639;      5871;
        70;    1400,0;;     47141;      1000;      2613;      5871;
        71;    1420,0;;     47808;      1001;      2637;      5871;
        72;    1440,0;;     48473;      1000;      2652;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

