FICHIER :;c:\Users\admin\Desktop\V_5500_0m.eposacq
Date :;03/07/2023
Heure :;10:15:21

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 5500 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     15065;         0;      2278;      5871;
         1;      20,0;;     15065;         0;      2278;      5871;
         2;      40,0;;     15065;         0;      2278;      5871;
         3;      60,0;;     15065;         0;      2278;      5871;
         4;      80,0;;     15065;         0;      2278;      5871;
         5;     100,0;;     15065;         0;      2278;      5871;
         6;     120,0;;     15065;         0;      2278;      5871;
         7;     140,0;;     15067;         1;      2873;      5871;
         8;     160,0;;     15436;       280;      7420;      5871;
         9;     180,0;;     16641;      1017;      7418;      5871;
        10;     200,0;;     18634;      1962;      7442;      5871;
        11;     220,0;;     21358;      2977;      7443;      5871;
        12;     240,0;;     24769;      3996;      5251;      5871;
        13;     260,0;;     28557;      4794;      3786;      5871;
        14;     280,0;;     32517;      5335;      3073;      5871;
        15;     300,0;;     36523;      5651;      2239;      5871;
        16;     320,0;;     40428;      5745;      2468;      5871;
        17;     340,0;;     44228;      5723;      2886;      5871;
        18;     360,0;;     47987;      5682;      2952;      5871;
        19;     380,0;;     51728;      5649;      2831;      5871;
        20;     400,0;;     55465;      5628;      2664;      5871;
        21;     420,0;;     59187;      5606;      2630;      5871;
        22;     440,0;;     62871;      5567;      2910;      5871;
        23;     460,0;;     66533;      5532;      3113;      5871;
        24;     480,0;;     70199;      5517;      3056;      5871;
        25;     500,0;;     73878;      5518;      2890;      5871;
        26;     520,0;;     77562;      5522;      2806;      5871;
        27;     540,0;;     81240;      5519;      2840;      5871;
        28;     560,0;;     84908;      5511;      2924;      5871;
        29;     580,0;;     88572;      5504;      2956;      5871;
        30;     600,0;;     92235;      5499;      2973;      5871;
        31;     620,0;;     95905;      5502;      2898;      5871;
        32;     640,0;;     99573;      5501;      2928;      5871;
        33;     660,0;;    103234;      5496;      2996;      5871;
        34;     680,0;;    106889;      5491;      3089;      5871;
        35;     700,0;;    110553;      5493;      3016;      5871;
        36;     720,0;;    114226;      5502;      2895;      5871;
        37;     740,0;;    117905;      5509;      2837;      5871;
        38;     760,0;;    121579;      5510;      2845;      5871;
        39;     780,0;;    125248;      5507;      2885;      5871;
        40;     800,0;;    128886;      5482;       492;      5871;
        41;     820,0;;    131777;      4913;     -4809;      5871;
        42;     840,0;;    133222;      3589;     -5328;      5871;
        43;     860,0;;    133380;      1991;     -1790;      5871;
        44;     880,0;;    133172;       907;       933;      5871;
        45;     900,0;;    132956;       329;      1627;      5871;
        46;     920,0;;    132696;        -9;      2850;      5871;
        47;     940,0;;    132518;      -126;      2526;      5871;
        48;     960,0;;    132485;       -87;      1428;      5871;
        49;     980,0;;    132485;       -46;      1252;      5871;
        50;    1000,0;;    132484;       -25;      1248;      5871;
        51;    1020,0;;    132469;       -25;      1462;      5871;
        52;    1040,0;;    132427;       -42;      1786;      5871;
        53;    1060,0;;    132406;       -36;      1640;      5871;
        54;    1080,0;;    132406;       -19;      1497;      5871;
        55;    1100,0;;    132406;       -10;      1498;      5871;
        56;    1120,0;;    132406;        -5;      1499;      5871;
        57;    1140,0;;    132406;        -3;      1497;      5871;
        58;    1160,0;;    132400;        -6;      1567;      5871;
        59;    1180,0;;    132399;        -4;      1522;      5871;
        60;    1200,0;;    132399;        -2;      1518;      5871;
        61;    1220,0;;    132399;        -1;      1519;      5871;
        62;    1240,0;;    132399;        -1;      1519;      5871;
        63;    1260,0;;    132399;         0;      1519;      5871;
        64;    1280,0;;    132399;         0;      1519;      5871;
        65;    1300,0;;    132399;         0;      1518;      5871;
        66;    1320,0;;    132399;         0;      1520;      5871;
        67;    1340,0;;    132399;         0;      1519;      5871;
        68;    1360,0;;    132399;         0;      1518;      5871;
        69;    1380,0;;    132399;         0;      1519;      5871;
        70;    1400,0;;    132399;         0;      1519;      5871;
        71;    1420,0;;    132399;         0;      1519;      5871;
        72;    1440,0;;    132399;         0;      1519;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

