FICHIER :;c:\Users\admin\Desktop\V_5000_0m.eposacq
Date :;03/07/2023
Heure :;10:14:41

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 5000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     15330;         0;      2294;      5871;
         1;      20,0;;     15330;         0;      2294;      5871;
         2;      40,0;;     15330;         0;      2294;      5871;
         3;      60,0;;     15330;         0;      2294;      5871;
         4;      80,0;;     15330;         0;      2294;      5871;
         5;     100,0;;     15330;         0;      2294;      5871;
         6;     120,0;;     15330;         0;      2294;      5871;
         7;     140,0;;     15331;         0;      3061;      5871;
         8;     160,0;;     15706;       270;      7413;      5871;
         9;     180,0;;     16924;      1005;      7443;      5871;
        10;     200,0;;     18922;      1945;      7434;      5871;
        11;     220,0;;     21654;      2961;      7449;      5871;
        12;     240,0;;     25067;      3978;      5283;      5871;
        13;     260,0;;     28791;      4735;      2501;      5871;
        14;     280,0;;     32461;      5096;      2052;      5871;
        15;     300,0;;     36038;      5223;      2095;      5871;
        16;     320,0;;     39526;      5227;      2393;      5871;
        17;     340,0;;     42920;      5162;      3003;      5871;
        18;     360,0;;     46280;      5105;      3181;      5871;
        19;     380,0;;     49638;      5073;      3076;      5871;
        20;     400,0;;     53020;      5073;      2723;      5871;
        21;     420,0;;     56408;      5077;      2531;      5871;
        22;     440,0;;     59770;      5062;      2665;      5871;
        23;     460,0;;     63097;      5028;      2997;      5871;
        24;     480,0;;     66408;      4999;      3166;      5871;
        25;     500,0;;     69735;      4995;      3032;      5871;
        26;     520,0;;     73085;      5009;      2795;      5871;
        27;     540,0;;     76437;      5018;      2736;      5871;
        28;     560,0;;     79777;      5014;      2818;      5871;
        29;     580,0;;     83103;      5002;      2963;      5871;
        30;     600,0;;     86427;      4996;      2973;      5871;
        31;     620,0;;     89763;      4999;      2898;      5871;
        32;     640,0;;     93105;      5006;      2800;      5871;
        33;     660,0;;     96446;      5008;      2814;      5871;
        34;     680,0;;     99770;      4998;      2988;      5871;
        35;     700,0;;    103087;      4988;      3091;      5871;
        36;     720,0;;    106408;      4985;      3075;      5871;
        37;     740,0;;    109745;      4994;      2941;      5871;
        38;     760,0;;    113094;      5008;      2780;      5871;
        39;     780,0;;    116440;      5013;      2774;      5871;
        40;     800,0;;    119774;      5008;      2876;      5871;
        41;     820,0;;    123104;      5002;      2914;      5871;
        42;     840,0;;    126436;      5000;      2914;      5871;
        43;     860,0;;    129610;      4886;     -2616;      5871;
        44;     880,0;;    131646;      4017;     -5156;      5871;
        45;     900,0;;    132242;      2541;     -4297;      5871;
        46;     920,0;;    132099;      1247;       351;      5871;
        47;     940,0;;    131905;       525;      1307;      5871;
        48;     960,0;;    131682;       120;      2370;      5871;
        49;     980,0;;    131464;       -90;      2858;      5871;
        50;    1000,0;;    131380;      -106;      1912;      5871;
        51;    1020,0;;    131380;       -57;      1308;      5871;
        52;    1040,0;;    131380;       -30;      1297;      5871;
        53;    1060,0;;    131379;       -17;      1317;      5871;
        54;    1080,0;;    131354;       -26;      1629;      5871;
        55;    1100,0;;    131324;       -35;      1700;      5871;
        56;    1120,0;;    131323;       -20;      1482;      5871;
        57;    1140,0;;    131323;       -10;      1474;      5871;
        58;    1160,0;;    131323;        -6;      1475;      5871;
        59;    1180,0;;    131323;        -3;      1475;      5871;
        60;    1200,0;;    131321;        -3;      1507;      5871;
        61;    1220,0;;    131320;        -2;      1487;      5871;
        62;    1240,0;;    131320;        -1;      1484;      5871;
        63;    1260,0;;    131320;        -1;      1484;      5871;
        64;    1280,0;;    131320;         0;      1484;      5871;
        65;    1300,0;;    131320;         0;      1485;      5871;
        66;    1320,0;;    131320;         0;      1484;      5871;
        67;    1340,0;;    131320;         0;      1484;      5871;
        68;    1360,0;;    131320;         0;      1484;      5871;
        69;    1380,0;;    131320;         0;      1484;      5871;
        70;    1400,0;;    131320;         0;      1484;      5871;
        71;    1420,0;;    131320;         0;      1484;      5871;
        72;    1440,0;;    131320;         0;      1484;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

