FICHIER :;c:\Users\admin\Desktop\V_6000_0m.eposacq
Date :;03/07/2023
Heure :;10:15:54

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 6000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     13516;         0;      2339;      5871;
         1;      20,0;;     13516;         0;      2339;      5871;
         2;      40,0;;     13516;         0;      2339;      5871;
         3;      60,0;;     13516;         0;      2339;      5871;
         4;      80,0;;     13516;         0;      2339;      5871;
         5;     100,0;;     13516;         0;      2338;      5871;
         6;     120,0;;     13516;         0;      2339;      5871;
         7;     140,0;;     13688;       134;      7258;      5871;
         8;     160,0;;     14651;       769;      7435;      5871;
         9;     180,0;;     16418;      1671;      7454;      5871;
        10;     200,0;;     18922;      2668;      7433;      5871;
        11;     220,0;;     22147;      3703;      6042;      5871;
        12;     240,0;;     25851;      4581;      4171;      5871;
        13;     260,0;;     29777;      5199;      3223;      5871;
        14;     280,0;;     33798;      5591;      2838;      5871;
        15;     300,0;;     37835;      5809;      2881;      5871;
        16;     320,0;;     41843;      5904;      3047;      5871;
        17;     340,0;;     45822;      5934;      3120;      5871;
        18;     360,0;;     49803;      5952;      3046;      5871;
        19;     380,0;;     53815;      5983;      2944;      5871;
        20;     400,0;;     57860;      6024;      2762;      5871;
        21;     420,0;;     61899;      6039;      2939;      5871;
        22;     440,0;;     65908;      6026;      3065;      5871;
        23;     460,0;;     69897;      6006;      3076;      5871;
        24;     480,0;;     73893;      6001;      2955;      5871;
        25;     500,0;;     77911;      6014;      2885;      5871;
        26;     520,0;;     81947;      6033;      2845;      5871;
        27;     540,0;;     85974;      6036;      2965;      5871;
        28;     560,0;;     89986;      6028;      3055;      5871;
        29;     580,0;;     93996;      6022;      2989;      5871;
        30;     600,0;;     98017;      6026;      2947;      5871;
        31;     620,0;;    102042;      6031;      2949;      5871;
        32;     640,0;;    106062;      6030;      3101;      5871;
        33;     660,0;;    110075;      6025;      3043;      5871;
        34;     680,0;;    114089;      6024;      2995;      5871;
        35;     700,0;;    118114;      6030;      2962;      5871;
        36;     720,0;;    122149;      6041;      2976;      5871;
        37;     740,0;;    126188;      6050;      2970;      5871;
        38;     760,0;;    130205;      6037;       582;      5871;
        39;     780,0;;    133435;      5443;     -5255;      5871;
        40;     800,0;;    135127;      4043;     -5590;      5871;
        41;     820,0;;    135464;      2353;     -2415;      5871;
        42;     840,0;;    135340;      1159;       596;      5871;
        43;     860,0;;    135166;       491;      1635;      5871;
        44;     880,0;;    134940;       100;      2779;      5871;
        45;     900,0;;    134777;       -58;      2595;      5871;
        46;     920,0;;    134756;       -43;      1461;      5871;
        47;     940,0;;    134760;       -20;      1336;      5871;
        48;     960,0;;    134760;       -11;      1361;      5871;
        49;     980,0;;    134754;       -10;      1434;      5871;
        50;    1000,0;;    134720;       -30;      1799;      5871;
        51;    1020,0;;    134707;       -24;      1601;      5871;
        52;    1040,0;;    134707;       -13;      1528;      5871;
        53;    1060,0;;    134707;        -7;      1528;      5871;
        54;    1080,0;;    134707;        -4;      1528;      5871;
        55;    1100,0;;    134707;        -2;      1528;      5871;
        56;    1120,0;;    134707;        -1;      1528;      5871;
        57;    1140,0;;    134707;        -1;      1528;      5871;
        58;    1160,0;;    134707;         0;      1528;      5871;
        59;    1180,0;;    134707;         0;      1528;      5871;
        60;    1200,0;;    134707;         0;      1528;      5871;
        61;    1220,0;;    134707;         0;      1528;      5871;
        62;    1240,0;;    134707;         0;      1528;      5871;
        63;    1260,0;;    134707;         0;      1528;      5871;
        64;    1280,0;;    134707;         0;      1528;      5871;
        65;    1300,0;;    134707;         0;      1528;      5871;
        66;    1320,0;;    134707;         0;      1528;      5871;
        67;    1340,0;;    134707;         0;      1528;      5871;
        68;    1360,0;;    134707;         0;      1528;      5871;
        69;    1380,0;;    134707;         0;      1528;      5871;
        70;    1400,0;;    134707;         0;      1528;      5871;
        71;    1420,0;;    134707;         0;      1528;      5871;
        72;    1440,0;;    134707;         0;      1528;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

