FICHIER :;c:\Users\admin\Desktop\V_4000_0m.eposacq
Date :;03/07/2023
Heure :;10:13:28

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 4000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     17703;         0;      2232;      5871;
         1;      20,0;;     17703;         0;      2232;      5871;
         2;      40,0;;     17703;         0;      2232;      5871;
         3;      60,0;;     17703;         0;      2232;      5871;
         4;      80,0;;     17703;         0;      2232;      5871;
         5;     100,0;;     17703;         0;      2231;      5871;
         6;     120,0;;     17703;         0;      2231;      5871;
         7;     140,0;;     17704;         1;      2935;      5871;
         8;     160,0;;     18076;       273;      7397;      5871;
         9;     180,0;;     19282;      1005;      7445;      5871;
        10;     200,0;;     21279;      1950;      7450;      5871;
        11;     220,0;;     23994;      2958;      5966;      5871;
        12;     240,0;;     27042;      3716;      2711;      5871;
        13;     260,0;;     30041;      4083;      2106;      5871;
        14;     280,0;;     32983;      4237;      1769;      5871;
        15;     300,0;;     35836;      4256;      1997;      5871;
        16;     320,0;;     38585;      4193;      2632;      5871;
        17;     340,0;;     41254;      4103;      3271;      5871;
        18;     360,0;;     43909;      4047;      3364;      5871;
        19;     380,0;;     46603;      4045;      2925;      5871;
        20;     400,0;;     49332;      4068;      2454;      5871;
        21;     420,0;;     52062;      4080;      2292;      5871;
        22;     440,0;;     54744;      4052;      2667;      5871;
        23;     460,0;;     57385;      4009;      3086;      5871;
        24;     480,0;;     60018;      3982;      3223;      5871;
        25;     500,0;;     62685;      3991;      2909;      5871;
        26;     520,0;;     65382;      4016;      2573;      5871;
        27;     540,0;;     68073;      4027;      2575;      5871;
        28;     560,0;;     70737;      4012;      2826;      5871;
        29;     580,0;;     73378;      3987;      3093;      5871;
        30;     600,0;;     76021;      3977;      3137;      5871;
        31;     620,0;;     78693;      3992;      2853;      5871;
        32;     640,0;;     81388;      4015;      2572;      5871;
        33;     660,0;;     84075;      4023;      2593;      5871;
        34;     680,0;;     86739;      4010;      2823;      5871;
        35;     700,0;;     89387;      3992;      3012;      5871;
        36;     720,0;;     92040;      3986;      2983;      5871;
        37;     740,0;;     94710;      3996;      2821;      5871;
        38;     760,0;;     97385;      4003;      2761;      5871;
        39;     780,0;;    100052;      4003;      2834;      5871;
        40;     800,0;;    102709;      3994;      2976;      5871;
        41;     820,0;;    105359;      3985;      3071;      5871;
        42;     840,0;;    108020;      3989;      2965;      5871;
        43;     860,0;;    110696;      4000;      2827;      5871;
        44;     880,0;;    113377;      4010;      2730;      5871;
        45;     900,0;;    116053;      4012;      2762;      5871;
        46;     920,0;;    118720;      4007;      2835;      5871;
        47;     940,0;;    121386;      4003;      2833;      5871;
        48;     960,0;;    124057;      4004;      2797;      5871;
        49;     980,0;;    126727;      4005;      2778;      5871;
        50;    1000,0;;    129236;      3886;     -2566;      5871;
        51;    1020,0;;    130614;      3013;     -5129;      5871;
        52;    1040,0;;    130722;      1661;      -633;      5871;
        53;    1060,0;;    130591;       789;       933;      5871;
        54;    1080,0;;    130461;       325;      1402;      5871;
        55;    1100,0;;    130282;        45;      2402;      5871;
        56;    1120,0;;    130130;       -82;      2497;      5871;
        57;    1140,0;;    130092;       -69;      1611;      5871;
        58;    1160,0;;    130092;       -36;      1383;      5871;
        59;    1180,0;;    130092;       -19;      1381;      5871;
        60;    1200,0;;    130085;       -15;      1472;      5871;
        61;    1220,0;;    130050;       -33;      1837;      5871;
        62;    1240,0;;    130030;       -31;      1717;      5871;
        63;    1260,0;;    130030;       -17;      1576;      5871;
        64;    1280,0;;    130030;        -9;      1574;      5871;
        65;    1300,0;;    130030;        -5;      1574;      5871;
        66;    1320,0;;    130029;        -2;      1573;      5871;
        67;    1340,0;;    130026;        -4;      1618;      5871;
        68;    1360,0;;    130026;        -2;      1586;      5871;
        69;    1380,0;;    130026;        -1;      1586;      5871;
        70;    1400,0;;    130026;        -1;      1586;      5871;
        71;    1420,0;;    130026;         0;      1587;      5871;
        72;    1440,0;;    130026;         0;      1586;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

