FICHIER :;c:\Users\admin\Desktop\V_3000_0m.eposacq
Date :;03/07/2023
Heure :;10:11:47

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
73 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Position Moteur;Vitesse Moteur;Courant Moteur;Consigne de Position;
;ms;;qc;rpm;mA;qc;
         0;       0,0;;     18798;         0;      2248;      5871;
         1;      20,0;;     18798;         0;      2248;      5871;
         2;      40,0;;     18798;         0;      2248;      5871;
         3;      60,0;;     18798;         0;      2248;      5871;
         4;      80,0;;     18798;         0;      2248;      5871;
         5;     100,0;;     18798;         0;      2248;      5871;
         6;     120,0;;     18798;         0;      2248;      5871;
         7;     140,0;;     18799;         1;      2861;      5871;
         8;     160,0;;     19153;       269;      7384;      5871;
         9;     180,0;;     20348;      1004;      7444;      5871;
        10;     200,0;;     22321;      1939;      6504;      5871;
        11;     220,0;;     24665;      2681;      3085;      5871;
        12;     240,0;;     26966;      3043;      2524;      5871;
        13;     260,0;;     29250;      3223;      1801;      5871;
        14;     280,0;;     31474;      3274;      1680;      5871;
        15;     300,0;;     33595;      3228;      2227;      5871;
        16;     320,0;;     35617;      3134;      2995;      5871;
        17;     340,0;;     37589;      3050;      3452;      5871;
        18;     360,0;;     39577;      3019;      3290;      5871;
        19;     380,0;;     41624;      3044;      2626;      5871;
        20;     400,0;;     43698;      3076;      2208;      5871;
        21;     420,0;;     45746;      3072;      2330;      5871;
        22;     440,0;;     47739;      3032;      2829;      5871;
        23;     460,0;;     49698;      2988;      3220;      5871;
        24;     480,0;;     51672;      2976;      3127;      5871;
        25;     500,0;;     53689;      2999;      2707;      5871;
        26;     520,0;;     55729;      3029;      2411;      5871;
        27;     540,0;;     57752;      3030;      2521;      5871;
        28;     560,0;;     59740;      3006;      2858;      5871;
        29;     580,0;;     61711;      2983;      3067;      5871;
        30;     600,0;;     63691;      2978;      3016;      5871;
        31;     620,0;;     65697;      2992;      2773;      5871;
        32;     640,0;;     67717;      3010;      2602;      5871;
        33;     660,0;;     69728;      3012;      2666;      5871;
        34;     680,0;;     71720;      3001;      2863;      5871;
        35;     700,0;;     73702;      2988;      2991;      5871;
        36;     720,0;;     75692;      2986;      2951;      5871;
        37;     740,0;;     77701;      3000;      2738;      5871;
        38;     760,0;;     79719;      3013;      2616;      5871;
        39;     780,0;;     81730;      3014;      2656;      5871;
        40;     800,0;;     83727;      3004;      2799;      5871;
        41;     820,0;;     85715;      2994;      2885;      5871;
        42;     840,0;;     87712;      2994;      2816;      5871;
        43;     860,0;;     89717;      3001;      2735;      5871;
        44;     880,0;;     91725;      3006;      2699;      5871;
        45;     900,0;;     93726;      3003;      2771;      5871;
        46;     920,0;;     95717;      2996;      2876;      5871;
        47;     940,0;;     97704;      2989;      2944;      5871;
        48;     960,0;;     99697;      2989;      2892;      5871;
        49;     980,0;;    101698;      2995;      2842;      5871;
        50;    1000,0;;    103697;      2996;      2863;      5871;
        51;    1020,0;;    105691;      2993;      2918;      5871;
        52;    1040,0;;    107685;      2993;      2930;      5871;
        53;    1060,0;;    109689;      2999;      2844;      5871;
        54;    1080,0;;    111701;      3009;      2724;      5871;
        55;    1100,0;;    113713;      3012;      2712;      5871;
        56;    1120,0;;    115718;      3011;      2744;      5871;
        57;    1140,0;;    117717;      3004;      2797;      5871;
        58;    1160,0;;    119717;      3002;      2785;      5871;
        59;    1180,0;;    121718;      3002;      2759;      5871;
        60;    1200,0;;    123719;      3002;      2776;      5871;
        61;    1220,0;;    125719;      3000;      2778;      5871;
        62;    1240,0;;    127691;      2978;       349;      5871;
        63;    1260,0;;    128921;      2414;     -4986;      5871;
        64;    1280,0;;    128982;      1308;       241;      5871;
        65;    1300,0;;    128904;       640;       939;      5871;
        66;    1320,0;;    128821;       279;      1380;      5871;
        67;    1340,0;;    128680;        48;      2302;      5871;
        68;    1360,0;;    128566;       -53;      2322;      5871;
        69;    1380,0;;    128546;       -40;      1569;      5871;
        70;    1400,0;;    128546;       -21;      1475;      5871;
        71;    1420,0;;    128546;       -11;      1473;      5871;
        72;    1440,0;;    128543;        -8;      1509;      5871;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3150;200;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

